,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-C8-A278-01A,0.047,0.002,0.032,0.001,0.024,0.001,0.015,0.03,0.128,0.005,0.117,0.009,0.0,0.008,0.0,0.583,0.583,BRCA,0.5981,0.25,0.5715,0.6,0.498,
TCGA-A7-A425-01A,0.002,0.0,0.005,0.0,0.011,0.001,0.025,0.072,0.17,0.034,0.095,0.004,0.0,0.009,0.001,0.572,0.572,BRCA,0.7181,,0.8115,0.85,0.8133,
TCGA-E2-A15H-01A,0.008,0.001,0.001,0.005,0.002,0.001,0.014,0.029,0.134,0.007,0.031,0.001,0.0,0.0,0.0,0.766,0.766,BRCA,0.8727,0.54,,0.75,0.6749,
TCGA-A8-A06N-01A,0.002,0.0,0.0,0.002,0.0,0.0,0.004,0.027,0.0,0.011,0.023,0.001,0.0,0.001,0.0,0.93,0.93,BRCA,0.9755,0.83,,0.875,0.9499,
TCGA-E2-A570-01A,0.0,0.001,0.007,0.0,0.006,0.001,0.01,0.035,0.294,0.015,0.026,0.006,0.0,0.006,0.002,0.591,0.591,BRCA,0.7985,,0.8867,0.7,0.7913,
TCGA-BH-A1FL-01A,0.003,0.012,0.012,0.0,0.013,0.002,0.022,0.057,0.119,0.025,0.028,0.01,0.0,0.0,0.0,0.696,0.696,BRCA,0.8689,0.83,0.9371,0.9,0.8912,
TCGA-E2-A56Z-01A,0.002,0.001,0.007,0.005,0.006,0.0,0.006,0.036,0.071,0.029,0.011,0.003,0.0,0.0,0.0,0.823,0.823,BRCA,0.9012,,0.9317,0.9,0.8763,
TCGA-E9-A1RI-01A,0.007,0.001,0.01,0.0,0.011,0.001,0.007,0.037,0.3,0.01,0.075,0.008,0.0,0.0,0.0,0.532,0.532,BRCA,0.7201,0.59,0.8568,0.9,0.6764,
TCGA-BH-A0DP-01A,0.007,0.005,0.013,0.0,0.018,0.004,0.034,0.061,0.268,0.008,0.077,0.009,0.0,0.002,0.0,0.494,0.494,BRCA,0.7037,0.42,0.8565,0.7,0.655,
TCGA-AR-A0U3-01A,0.003,0.002,0.005,0.002,0.004,0.003,0.013,0.045,0.047,0.003,0.025,0.002,0.0,0.0,0.0,0.847,0.847,BRCA,0.8954,0.79,0.943,0.775,0.8902,
TCGA-BH-A18L-01A,0.0,0.0,0.004,0.0,0.008,0.0,0.0,0.046,0.002,0.026,0.027,0.001,0.0,0.004,0.0,0.881,0.881,BRCA,0.927,0.81,,0.8,0.9113,
TCGA-A7-A3J1-01A,0.009,0.02,0.023,0.002,0.039,0.01,0.066,0.093,0.172,0.033,0.091,0.009,0.0,0.001,0.0,0.431,0.431,BRCA,0.6212,0.55,0.7271,0.9,0.6485,
TCGA-AC-A6IW-01A,0.0,0.0,0.029,0.002,0.024,0.0,0.083,0.018,0.032,0.001,0.165,0.0,0.0,0.0,0.0,0.644,0.644,BRCA,0.6552,,0.5345,0.6,0.5423,
TCGA-AC-A3YI-01A,0.001,0.002,0.005,0.0,0.011,0.001,0.027,0.111,0.328,0.027,0.048,0.008,0.0,0.005,0.001,0.427,0.427,BRCA,0.7028,,0.7162,0.8,0.607,
TCGA-D8-A1XG-01A,0.003,0.004,0.002,0.0,0.0,0.002,0.008,0.022,0.13,0.039,0.031,0.004,0.0,0.008,0.0,0.749,0.749,BRCA,0.8763,0.83,0.9269,0.85,0.8957,
TCGA-A8-A082-01A,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.022,0.086,0.0,0.072,0.007,0.0,0.0,0.0,0.809,0.809,BRCA,0.8146,0.82,,0.9,0.7587,
TCGA-OL-A5RU-01A,0.038,0.027,0.026,0.0,0.029,0.015,0.052,0.068,0.098,0.042,0.05,0.007,0.0,0.0,0.0,0.547,0.547,BRCA,0.702,,0.6242,0.65,0.6058,
TCGA-BH-A0HA-01A,0.009,0.001,0.035,0.0,0.018,0.001,0.041,0.067,0.271,0.022,0.05,0.004,0.0,0.0,0.0,0.48,0.48,BRCA,0.6418,0.74,0.9258,0.725,0.7386,
TCGA-A2-A3XS-01A,0.008,0.005,0.018,0.0,0.012,0.001,0.021,0.054,0.087,0.021,0.031,0.001,0.001,0.0,0.0,0.743,0.743,BRCA,0.8091,,0.7879,0.68,0.7855,
TCGA-A2-A0ES-01A,0.001,0.001,0.014,0.0,0.01,0.011,0.036,0.116,0.195,0.047,0.046,0.008,0.0,0.001,0.0,0.513,0.513,BRCA,0.7212,,,0.375,0.7674,
TCGA-B6-A0RN-01A,0.0,0.002,0.008,0.0,0.009,0.001,0.021,0.024,0.322,0.004,0.027,0.007,0.0,0.0,0.0,0.576,0.576,BRCA,0.8298,0.8,0.9681,0.85,0.8504,
TCGA-BH-A2L8-01A,0.008,0.012,0.055,0.002,0.045,0.001,0.073,0.027,0.2,0.011,0.097,0.006,0.0,0.0,0.0,0.463,0.463,BRCA,0.5823,,0.5942,0.75,0.5579,
TCGA-E2-A108-01A,0.014,0.007,0.039,0.001,0.051,0.001,0.058,0.132,0.233,0.032,0.166,0.01,0.001,0.017,0.0,0.239,0.239,BRCA,0.3444,0.2,0.5781,0.8,0.4458,
TCGA-AN-A046-01A,0.003,0.002,0.014,0.005,0.035,0.0,0.039,0.029,0.136,0.02,0.1,0.0,0.0,0.0,0.0,0.616,0.616,BRCA,0.6579,0.57,,0.86,0.7034,
TCGA-E2-A576-01A,0.003,0.0,0.004,0.003,0.005,0.0,0.008,0.031,0.07,0.023,0.016,0.005,0.0,0.0,0.0,0.832,0.832,BRCA,0.8697,,0.9499,0.7,0.9253,
TCGA-A2-A3XX-01A,0.017,0.007,0.029,0.001,0.012,0.0,0.016,0.037,0.087,0.019,0.032,0.001,0.0,0.001,0.0,0.741,0.741,BRCA,0.8138,,0.7889,0.88,0.7868,
TCGA-C8-A137-01A,0.001,0.001,0.002,0.0,0.007,0.0,0.001,0.022,0.112,0.0,0.021,0.0,0.0,0.0,0.0,0.832,0.832,BRCA,0.9048,0.75,,0.775,0.874,
TCGA-A7-A4SC-01A,0.005,0.002,0.007,0.0,0.02,0.003,0.024,0.078,0.261,0.027,0.049,0.009,0.0,0.007,0.0,0.507,0.507,BRCA,0.7525,,0.7981,0.6,0.7975,
TCGA-E2-A15M-01A,0.005,0.013,0.038,0.001,0.03,0.019,0.046,0.148,0.17,0.025,0.1,0.006,0.0,0.002,0.0,0.398,0.398,BRCA,0.4911,0.28,,0.8,0.4285,
TCGA-A8-A08I-01A,0.024,0.001,0.018,0.026,0.089,0.001,0.044,0.018,0.033,0.0,0.179,0.004,0.0,0.007,0.0,0.555,0.555,BRCA,0.6607,0.65,,0.825,0.7019,
TCGA-AC-A2FF-01A,0.02,0.013,0.024,0.0,0.02,0.005,0.045,0.14,0.283,0.038,0.047,0.01,0.0,0.002,0.0,0.353,0.353,BRCA,0.5705,,0.6868,0.8,0.6667,
TCGA-E2-A1L6-01A,0.004,0.006,0.006,0.001,0.004,0.003,0.03,0.068,0.175,0.023,0.053,0.006,0.0,0.001,0.0,0.62,0.62,BRCA,0.8084,0.49,0.7904,0.65,0.689,
TCGA-AR-A24S-01A,0.002,0.007,0.023,0.001,0.001,0.005,0.031,0.06,0.189,0.025,0.15,0.006,0.0,0.001,0.0,0.501,0.501,BRCA,0.5584,0.46,0.6285,0.85,0.5987,
TCGA-E2-A155-01A,0.007,0.001,0.0,0.003,0.004,0.0,0.005,0.018,0.028,0.001,0.014,0.003,0.0,0.001,0.0,0.914,0.914,BRCA,0.9343,0.82,,0.95,0.9213,
TCGA-C8-A12M-01A,0.012,0.0,0.008,0.004,0.02,0.0,0.006,0.063,0.004,0.021,0.009,0.003,0.0,0.0,0.0,0.85,0.85,BRCA,0.8958,0.69,,0.935,0.869,
TCGA-E2-A14W-01A,0.0,0.0,0.001,0.0,0.002,0.0,0.001,0.009,0.072,0.0,0.025,0.005,0.0,0.0,0.0,0.884,0.884,BRCA,0.9386,0.55,,0.8,0.6844,
TCGA-B6-A0RQ-01A,0.0,0.001,0.003,0.0,0.004,0.001,0.02,0.079,0.113,0.024,0.013,0.005,0.0,0.001,0.0,0.738,0.738,BRCA,0.9039,,,0.5,0.791,
TCGA-EW-A1IW-01A,0.0,0.007,0.013,0.001,0.015,0.001,0.031,0.059,0.146,0.034,0.043,0.007,0.0,0.001,0.0,0.643,0.643,BRCA,0.7831,0.57,0.7847,0.7,0.7313,
TCGA-A1-A0SM-01A,0.001,0.008,0.005,0.002,0.004,0.0,0.002,0.033,0.257,0.007,0.074,0.004,0.0,0.0,0.0,0.603,0.603,BRCA,0.7538,0.59,0.8907,0.85,0.7903,
TCGA-E9-A1R6-01A,0.004,0.001,0.002,0.002,0.007,0.0,0.01,0.032,0.112,0.002,0.05,0.005,0.0,0.0,0.0,0.773,0.773,BRCA,0.8657,0.66,0.9017,0.85,0.832,
TCGA-A2-A0CQ-01A,0.0,0.0,0.001,0.004,0.002,0.0,0.005,0.027,0.076,0.011,0.147,0.007,0.0,0.0,0.0,0.719,0.719,BRCA,0.823,0.8,,0.725,0.7701,
TCGA-OL-A5D7-01A,0.007,0.022,0.025,0.016,0.042,0.0,0.029,0.012,0.024,0.001,0.082,0.001,0.0,0.0,0.0,0.738,0.738,BRCA,0.7671,,,0.85,0.7204,
TCGA-D8-A143-01A,0.017,0.003,0.03,0.0,0.016,0.0,0.013,0.046,0.059,0.011,0.02,0.001,0.0,0.003,0.0,0.779,0.779,BRCA,0.8679,0.72,,0.8,0.8311,
TCGA-C8-A138-01A,0.01,0.001,0.018,0.02,0.033,0.0,0.022,0.047,0.188,0.038,0.084,0.008,0.0,0.0,0.0,0.532,0.532,BRCA,0.6111,0.43,,0.725,0.5707,
TCGA-E2-A14Q-01A,0.002,0.0,0.016,0.002,0.009,0.002,0.026,0.058,0.111,0.028,0.015,0.007,0.0,0.0,0.0,0.724,0.724,BRCA,0.8494,0.6,,0.85,0.7913,
TCGA-A2-A0YL-01A,0.001,0.002,0.013,0.0,0.022,0.007,0.036,0.087,0.238,0.023,0.041,0.007,0.0,0.001,0.0,0.522,0.522,BRCA,0.7417,0.33,0.8562,0.775,0.7032,
