,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-94-7943-01A,0.01,0.0,0.013,0.0,0.013,0.0,0.014,0.013,0.043,0.014,0.062,0.005,0.0,0.009,0.001,0.801,0.801,LUSC,0.8805,0.58,0.77,0.85,0.7667,
TCGA-68-8251-01A,0.008,0.01,0.028,0.005,0.019,0.001,0.028,0.042,0.132,0.001,0.056,0.002,0.0,0.001,0.0,0.668,0.668,LUSC,0.7167,0.33,0.5632,0.7,0.5736,
TCGA-33-A5GW-01A,0.0,0.001,0.004,0.0,0.0,0.0,0.005,0.034,0.001,0.007,0.016,0.002,0.0,0.012,0.002,0.916,0.916,LUSC,0.9734,,0.883,0.8,0.9358,
TCGA-85-8070-01A,0.018,0.0,0.003,0.003,0.004,0.0,0.004,0.014,0.009,0.013,0.009,0.0,0.0,0.002,0.0,0.921,0.921,LUSC,0.9862,0.95,0.8116,0.85,0.9026,
TCGA-85-8479-01A,0.0,0.0,0.002,0.002,0.011,0.0,0.008,0.047,0.006,0.005,0.001,0.003,0.0,0.015,0.001,0.898,0.898,LUSC,0.9507,,0.6701,0.725,0.7019,
TCGA-22-5482-01A,0.008,0.0,0.008,0.002,0.001,0.0,0.01,0.03,0.078,0.004,0.028,0.001,0.0,0.004,0.001,0.825,0.825,LUSC,0.8912,0.66,0.7648,0.8,0.7887,
TCGA-21-1077-01A,0.039,0.002,0.015,0.0,0.002,0.0,0.018,0.031,0.092,0.01,0.053,0.003,0.0,0.01,0.002,0.723,0.723,LUSC,0.8133,0.34,,0.825,0.6037,
TCGA-43-6773-01A,0.095,0.028,0.022,0.003,0.015,0.001,0.01,0.1,0.175,0.039,0.131,0.002,0.0,0.013,0.001,0.366,0.366,LUSC,0.4898,0.93,0.3418,0.6,0.5098,
TCGA-34-8455-01A,0.016,0.002,0.011,0.002,0.005,0.0,0.0,0.073,0.137,0.031,0.031,0.002,0.0,0.011,0.0,0.679,0.679,LUSC,0.8395,,0.6482,0.725,0.6573,
TCGA-85-7950-01A,0.004,0.012,0.074,0.002,0.017,0.001,0.02,0.056,0.203,0.002,0.033,0.004,0.0,0.005,0.002,0.566,0.566,LUSC,0.6839,0.52,0.5851,0.75,0.5969,
TCGA-60-2715-01A,0.014,0.008,0.029,0.0,0.013,0.001,0.049,0.123,0.202,0.031,0.151,0.009,0.001,0.013,0.004,0.353,0.353,LUSC,0.4902,0.19,,0.725,0.3431,
TCGA-85-A5B5-01A,0.007,0.006,0.008,0.0,0.002,0.0,0.012,0.015,0.083,0.0,0.04,0.001,0.0,0.0,0.0,0.826,0.826,LUSC,0.9185,,0.9178,0.65,0.919,
