,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-BC-A10Z-01A,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.129,0.0,0.013,0.002,0.0,0.0,0.0,0.0,0.851,0.851,LIHC,0.9772,,0.7604,0.875,0.9253,
TCGA-DD-AAEK-01A,0.01,0.002,0.011,0.0,0.005,0.001,0.007,0.064,0.002,0.036,0.105,0.0,0.0,0.0,0.0,0.757,0.757,LIHC,0.7594,,,0.75,0.7375,
TCGA-G3-A3CK-01A,0.001,0.0,0.007,0.0,0.002,0.0,0.0,0.07,0.0,0.051,0.084,0.0,0.0,0.0,0.0,0.784,0.784,LIHC,0.8725,,0.6685,0.95,0.8374,
TCGA-DD-A1EJ-01A,0.0,0.0,0.001,0.0,0.002,0.0,0.0,0.062,0.0,0.014,0.087,0.0,0.0,0.0,0.0,0.833,0.833,LIHC,0.9189,,0.7028,0.85,0.8806,
TCGA-DD-AACU-01A,0.002,0.0,0.006,0.0,0.004,0.0,0.002,0.067,0.0,0.024,0.032,0.0,0.0,0.0,0.0,0.864,0.864,LIHC,0.892,,,0.9,0.8052,
TCGA-ZS-A9CE-01A,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.062,0.0,0.018,0.015,0.0,0.0,0.0,0.0,0.902,0.902,LIHC,0.957,,0.7221,0.8,0.7466,
TCGA-2Y-A9H2-01A,0.001,0.0,0.003,0.0,0.0,0.0,0.027,0.034,0.0,0.003,0.031,0.002,0.0,0.0,0.0,0.9,0.9,LIHC,0.8984,,0.8126,0.7,0.8726,
TCGA-CC-5261-01A,0.001,0.011,0.014,0.0,0.001,0.007,0.017,0.083,0.128,0.017,0.054,0.002,0.0,0.0,0.0,0.666,0.666,LIHC,0.7769,,0.7414,0.85,0.7076,
TCGA-DD-AADP-01A,0.002,0.0,0.003,0.0,0.0,0.0,0.0,0.122,0.0,0.034,0.007,0.0,0.0,0.0,0.0,0.831,0.831,LIHC,0.8867,,0.7593,0.7,0.8566,
TCGA-2Y-A9H4-01A,0.0,0.0,0.004,0.0,0.001,0.0,0.003,0.117,0.0,0.032,0.053,0.0,0.001,0.0,0.0,0.788,0.788,LIHC,0.8881,,0.7259,0.85,0.8585,
TCGA-DD-A1EA-01A,0.036,0.0,0.007,0.0,0.004,0.0,0.0,0.088,0.0,0.0,0.128,0.0,0.0,0.0,0.0,0.736,0.736,LIHC,0.8792,,0.706,0.9,0.6893,
TCGA-CC-A3MC-01A,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.047,0.0,0.041,0.068,0.001,0.0,0.001,0.0,0.837,0.837,LIHC,0.8825,,0.7717,0.75,0.8509,
TCGA-FV-A2QR-01A,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.101,0.0,0.043,0.071,0.001,0.0,0.001,0.0,0.779,0.779,LIHC,0.8678,,0.6626,0.8,0.6383,
TCGA-EP-A26S-01A,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.0,0.028,0.046,0.0,0.0,0.0,0.0,0.858,0.858,LIHC,0.9397,,0.7673,0.95,0.8806,
TCGA-K7-AAU7-01A,0.001,0.0,0.008,0.0,0.001,0.0,0.005,0.043,0.075,0.012,0.029,0.003,0.0,0.001,0.0,0.822,0.822,LIHC,0.8525,,0.6629,0.65,0.6386,
TCGA-G3-A25T-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.044,0.0,0.003,0.045,0.011,0.003,0.0,0.0,0.891,0.891,LIHC,0.8852,,0.9203,0.95,0.8546,
TCGA-DD-AADB-01A,0.02,0.006,0.016,0.0,0.011,0.0,0.005,0.063,0.0,0.015,0.071,0.0,0.0,0.0,0.0,0.793,0.793,LIHC,0.8511,,,0.95,0.8668,
TCGA-UB-A7MA-01A,0.0,0.0,0.002,0.0,0.0,0.0,0.002,0.032,0.0,0.017,0.041,0.0,0.0,0.0,0.0,0.907,0.907,LIHC,0.9214,,0.8845,0.95,0.9038,
TCGA-DD-AAD0-01A,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.051,0.0,0.0,0.0,0.0,0.877,0.877,LIHC,0.9581,,,0.95,0.9394,
TCGA-BC-4072-01B,0.006,0.0,0.017,0.007,0.006,0.0,0.014,0.1,0.004,0.025,0.099,0.001,0.0,0.0,0.0,0.72,0.72,LIHC,0.7931,,0.5901,0.85,0.5531,
TCGA-DD-AACD-01A,0.002,0.0,0.004,0.0,0.0,0.0,0.001,0.031,0.0,0.042,0.091,0.0,0.001,0.0,0.0,0.829,0.829,LIHC,0.8278,,,0.9,0.851,
TCGA-DD-A3A5-01A,0.0,0.0,0.007,0.0,0.001,0.0,0.0,0.094,0.0,0.059,0.036,0.0,0.0,0.0,0.0,0.803,0.803,LIHC,0.9034,,0.8117,0.95,0.8135,
TCGA-ZP-A9D1-01A,0.001,0.0,0.008,0.0,0.0,0.002,0.0,0.091,0.002,0.063,0.049,0.0,0.0,0.002,0.0,0.782,0.782,LIHC,0.8383,,0.7065,0.8,0.7909,
TCGA-ZP-A9D0-01A,0.004,0.0,0.003,0.0,0.0,0.0,0.001,0.079,0.0,0.039,0.013,0.0,0.0,0.0,0.0,0.861,0.861,LIHC,0.9234,,0.8768,0.9,0.9065,
TCGA-CC-A7IK-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.061,0.0,0.043,0.036,0.0,0.0,0.0,0.0,0.859,0.859,LIHC,0.9673,,0.6325,0.8,0.7913,
TCGA-WQ-AB4B-01A,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.032,0.0,0.05,0.045,0.0,0.0,0.0,0.0,0.869,0.869,LIHC,0.8504,,,0.75,0.8663,
TCGA-FV-A4ZQ-01A,0.058,0.0,0.024,0.0,0.041,0.0,0.0,0.025,0.0,0.0,0.155,0.001,0.0,0.0,0.0,0.696,0.696,LIHC,0.8083,,0.6708,0.75,0.7502,
TCGA-G3-A25S-01A,0.0,0.0,0.004,0.0,0.001,0.0,0.0,0.027,0.0,0.032,0.062,0.0,0.001,0.0,0.0,0.873,0.873,LIHC,0.8986,,0.5887,0.9,0.7913,
TCGA-NI-A4U2-01A,0.001,0.0,0.002,0.0,0.0,0.0,0.0,0.07,0.0,0.038,0.021,0.0,0.0,0.0,0.0,0.868,0.868,LIHC,0.8891,,0.7194,0.95,0.8599,
TCGA-RC-A7SK-01A,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.11,0.0,0.028,0.01,0.0,0.0,0.0,0.0,0.847,0.847,LIHC,0.9534,,0.6569,0.8,0.9253,
TCGA-DD-AADS-01A,0.0,0.0,0.009,0.0,0.013,0.0,0.0,0.067,0.0,0.004,0.089,0.001,0.002,0.0,0.0,0.814,0.814,LIHC,0.8218,,,0.95,0.8022,
TCGA-DD-A73F-01A,0.011,0.0,0.011,0.0,0.015,0.0,0.006,0.096,0.0,0.044,0.152,0.0,0.0,0.0,0.0,0.666,0.666,LIHC,0.7264,,0.5671,0.8,0.526,
TCGA-DD-A11C-01A,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.168,0.0,0.066,0.064,0.0,0.0,0.0,0.0,0.695,0.695,LIHC,0.8348,,0.7781,0.8,0.7861,
TCGA-FV-A23B-01A,0.001,0.0,0.002,0.0,0.0,0.0,0.008,0.117,0.0,0.012,0.033,0.0,0.0,0.0,0.0,0.827,0.827,LIHC,0.88,,0.8674,0.95,0.8475,
TCGA-DD-AADD-01A,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.056,0.0,0.005,0.064,0.0,0.0,0.0,0.0,0.871,0.871,LIHC,0.9575,,,0.95,0.939,
TCGA-DD-AACO-01A,0.0,0.0,0.005,0.0,0.007,0.0,0.0,0.058,0.0,0.03,0.074,0.0,0.0,0.0,0.0,0.825,0.825,LIHC,0.8487,,,0.8,0.8652,
TCGA-RC-A6M3-01A,0.0,0.0,0.002,0.0,0.002,0.0,0.001,0.02,0.0,0.008,0.018,0.0,0.0,0.0,0.0,0.949,0.949,LIHC,0.9418,,0.684,0.9,0.6634,
TCGA-DD-AAED-01A,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.029,0.008,0.0,0.0,0.0,0.0,0.958,0.958,LIHC,0.9512,,,0.75,0.8454,
TCGA-BC-A10X-01A,0.002,0.0,0.003,0.0,0.001,0.0,0.0,0.093,0.015,0.026,0.078,0.0,0.0,0.0,0.0,0.781,0.781,LIHC,0.7714,,0.7281,0.65,0.7152,
TCGA-DD-AAVP-01A,0.001,0.0,0.004,0.0,0.0,0.0,0.0,0.046,0.0,0.055,0.064,0.0,0.0,0.0,0.0,0.829,0.829,LIHC,0.9056,,,0.8,0.8591,
TCGA-MI-A75C-01A,0.0,0.0,0.005,0.0,0.001,0.0,0.0,0.014,0.0,0.014,0.041,0.0,0.0,0.0,0.0,0.924,0.924,LIHC,0.9287,,0.7741,0.95,0.7693,
TCGA-DD-A39W-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.073,0.0,0.024,0.046,0.0,0.0,0.0,0.004,0.851,0.851,LIHC,0.9316,,0.8524,0.75,0.9176,
TCGA-DD-A4NA-01A,0.011,0.0,0.001,0.002,0.0,0.0,0.003,0.035,0.002,0.006,0.081,0.002,0.001,0.0,0.0,0.856,0.856,LIHC,0.849,,0.8206,0.8,0.824,
TCGA-DD-AAVY-01A,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.106,0.0,0.017,0.041,0.0,0.0,0.0,0.0,0.834,0.834,LIHC,0.9525,,,0.85,0.8463,
TCGA-DD-A1EC-01A,0.015,0.0,0.021,0.001,0.026,0.0,0.011,0.086,0.004,0.037,0.139,0.01,0.014,0.0,0.0,0.636,0.636,LIHC,0.656,,0.545,0.95,0.5,
TCGA-5C-AAPD-01A,0.042,0.0,0.019,0.0,0.008,0.0,0.011,0.031,0.008,0.025,0.135,0.001,0.0,0.0,0.0,0.72,0.72,LIHC,0.7588,,0.6024,0.68,0.6829,
TCGA-BC-4073-01B,0.023,0.0,0.024,0.0,0.009,0.0,0.006,0.08,0.045,0.011,0.124,0.002,0.0,0.005,0.0,0.67,0.67,LIHC,0.7086,,0.456,0.825,0.6148,
TCGA-WQ-A9G7-01A,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.009,0.0,0.0,0.045,0.003,0.0,0.0,0.0,0.941,0.941,LIHC,0.9546,,0.8088,0.75,0.8101,
