,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-55-8508-01A,0.141,0.005,0.026,0.005,0.001,0.0,0.012,0.043,0.1,0.021,0.057,0.002,0.001,0.002,0.0,0.583,0.583,LUAD,0.7656,,0.5561,0.65,0.6026,
TCGA-67-3771-01A,0.044,0.003,0.013,0.013,0.014,0.0,0.016,0.04,0.082,0.02,0.16,0.002,0.0,0.001,0.002,0.59,0.59,LUAD,0.6957,0.46,,0.75,0.5991,
TCGA-55-A4DG-01A,0.059,0.036,0.023,0.017,0.019,0.001,0.036,0.029,0.07,0.016,0.086,0.005,0.0,0.002,0.001,0.602,0.602,LUAD,0.7884,,0.6738,0.65,0.7232,
TCGA-91-7771-01A,0.038,0.012,0.03,0.01,0.017,0.001,0.043,0.094,0.1,0.035,0.136,0.004,0.0,0.001,0.001,0.479,0.479,LUAD,0.5901,0.59,0.6828,0.61,0.6621,
TCGA-91-6849-01A,0.068,0.006,0.005,0.002,0.006,0.0,0.027,0.066,0.043,0.018,0.113,0.0,0.0,0.001,0.0,0.644,0.644,LUAD,0.7161,0.59,0.7258,0.775,0.6688,
TCGA-64-5781-01A,0.046,0.0,0.009,0.043,0.001,0.0,0.001,0.016,0.116,0.011,0.047,0.004,0.0,0.001,0.0,0.704,0.704,LUAD,0.6918,0.38,0.5397,0.75,0.5576,
TCGA-44-6146-01B,0.006,0.001,0.006,0.009,0.007,0.013,0.022,0.077,0.091,0.024,0.01,0.004,0.0,0.004,0.002,0.724,0.724,LUAD,,,0.7245,0.8,0.711,
TCGA-97-7552-01A,0.038,0.04,0.033,0.035,0.02,0.0,0.048,0.1,0.071,0.024,0.111,0.008,0.0,0.002,0.001,0.468,0.468,LUAD,0.5542,0.17,0.4952,0.55,0.4233,
TCGA-80-5608-01A,0.016,0.0,0.013,0.016,0.0,0.0,0.013,0.047,0.026,0.027,0.06,0.002,0.0,0.0,0.0,0.78,0.78,LUAD,0.8656,0.49,0.6594,0.9,0.6345,
TCGA-91-6829-01A,0.005,0.0,0.016,0.004,0.006,0.0,0.005,0.089,0.271,0.022,0.095,0.007,0.0,0.0,0.0,0.479,0.479,LUAD,0.682,0.49,0.7059,0.75,0.6335,
TCGA-49-AARE-01A,0.018,0.003,0.008,0.017,0.001,0.0,0.017,0.005,0.081,0.013,0.066,0.002,0.0,0.001,0.0,0.767,0.767,LUAD,0.8013,,,0.6,0.7406,
TCGA-97-A4M1-01A,0.007,0.0,0.012,0.01,0.012,0.0,0.066,0.135,0.058,0.028,0.129,0.01,0.001,0.0,0.001,0.529,0.529,LUAD,0.7218,,0.7556,0.65,0.7475,
TCGA-83-5908-01A,0.003,0.0,0.03,0.106,0.023,0.0,0.04,0.06,0.085,0.009,0.098,0.004,0.0,0.0,0.0,0.542,0.542,LUAD,0.6178,0.33,0.5273,0.6,0.4854,
TCGA-97-8179-01A,0.0,0.0,0.005,0.009,0.0,0.0,0.027,0.075,0.057,0.044,0.097,0.004,0.0,0.0,0.0,0.68,0.68,LUAD,0.8196,0.65,0.77,0.8,0.765,
TCGA-64-1680-01A,0.015,0.0,0.006,0.004,0.0,0.0,0.035,0.023,0.028,0.011,0.06,0.007,0.0,0.0,0.0,0.811,0.811,LUAD,0.8758,0.62,,0.9,0.7508,
TCGA-73-4670-01A,0.018,0.0,0.003,0.005,0.0,0.0,0.0,0.018,0.089,0.017,0.045,0.0,0.0,0.001,0.0,0.803,0.803,LUAD,0.8099,0.62,,0.9,0.7508,
TCGA-44-3396-01A,0.044,0.001,0.028,0.012,0.016,0.0,0.043,0.059,0.172,0.015,0.152,0.005,0.0,0.003,0.001,0.449,0.449,LUAD,0.4991,0.25,,0.675,0.4,
TCGA-80-5611-01A,0.003,0.0,0.021,0.02,0.0,0.0,0.003,0.005,0.037,0.0,0.264,0.004,0.0,0.0,0.0,0.643,0.643,LUAD,0.7087,0.51,0.6308,0.8,0.6307,
