,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-KL-8325-01A,0.004,0.0,0.001,0.0,0.0,0.0,0.0,0.022,0.0,0.003,0.033,0.0,0.0,0.0,0.0,0.936,0.936,KICH,0.9584,,0.8851,0.9,0.8997,
TCGA-KO-8411-01A,0.015,0.0,0.001,0.0,0.0,0.0,0.0,0.069,0.0,0.019,0.037,0.0,0.0,0.0,0.0,0.86,0.86,KICH,0.9495,,0.8649,0.9,0.909,
TCGA-KL-8331-01A,0.008,0.0,0.001,0.0,0.0,0.0,0.0,0.016,0.0,0.022,0.027,0.0,0.0,0.0,0.0,0.926,0.926,KICH,0.9669,,0.9046,0.9,0.9227,
TCGA-KO-8409-01A,0.02,0.0,0.0,0.001,0.0,0.0,0.0,0.033,0.0,0.011,0.025,0.0,0.0,0.0,0.0,0.91,0.91,KICH,0.9246,,0.8742,0.9,0.8975,
TCGA-KM-8439-01A,0.009,0.0,0.0,0.002,0.0,0.0,0.0,0.053,0.0,0.013,0.063,0.001,0.0,0.003,0.0,0.857,0.857,KICH,0.9285,,0.8488,0.85,0.8853,
TCGA-KN-8423-01A,0.004,0.0,0.002,0.0,0.0,0.0,0.0,0.074,0.0,0.041,0.062,0.0,0.0,0.0,0.0,0.816,0.816,KICH,0.9087,,0.8412,0.925,0.8865,
TCGA-KL-8339-01A,0.019,0.0,0.0,0.001,0.0,0.0,0.0,0.018,0.0,0.015,0.042,0.0,0.0,0.0,0.0,0.906,0.906,KICH,0.9544,,1.0,0.9,0.9486,
TCGA-KN-8434-01A,0.003,0.0,0.002,0.003,0.0,0.0,0.0,0.137,0.0,0.062,0.094,0.002,0.0,0.002,0.0,0.693,0.693,KICH,0.8623,,0.8609,0.9,0.8475,
TCGA-KL-8342-01A,0.011,0.0,0.002,0.0,0.0,0.0,0.0,0.113,0.0,0.022,0.072,0.0,0.0,0.0,0.0,0.78,0.78,KICH,0.8709,,0.8524,0.95,0.8482,
TCGA-KN-8428-01A,0.025,0.0,0.001,0.009,0.0,0.0,0.0,0.017,0.0,0.053,0.037,0.0,0.0,0.001,0.0,0.856,0.856,KICH,0.9468,,0.8406,0.85,0.8929,
