,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-BP-4766-01A,0.008,0.0,0.001,0.002,0.0,0.006,0.001,0.243,0.0,0.128,0.149,0.0,0.009,0.014,0.0,0.437,0.437,KIRC,0.7186,0.66,,0.96,0.7085,
TCGA-A3-3352-01A,0.011,0.0,0.006,0.002,0.0,0.009,0.003,0.259,0.0,0.099,0.131,0.001,0.019,0.009,0.0,0.448,0.448,KIRC,0.6852,0.49,,0.85,0.6275,
TCGA-G6-A8L7-01A,0.049,0.0,0.005,0.003,0.01,0.0,0.0,0.054,0.002,0.11,0.045,0.0,0.005,0.0,0.0,0.718,0.718,KIRC,0.8096,,0.5863,0.85,0.6503,
TCGA-A3-A6NN-01A,0.004,0.0,0.008,0.002,0.004,0.007,0.006,0.332,0.037,0.079,0.127,0.002,0.024,0.012,0.001,0.356,0.356,KIRC,0.6198,,0.6968,0.85,0.5863,
TCGA-T7-A92I-01A,0.013,0.0,0.0,0.004,0.001,0.0,0.0,0.031,0.0,0.026,0.148,0.0,0.0,0.0,0.0,0.776,0.776,KIRC,0.8726,,0.7372,0.85,0.7913,
TCGA-B0-5713-01A,0.0,0.0,0.001,0.006,0.009,0.0,0.001,0.391,0.001,0.137,0.098,0.0,0.014,0.006,0.0,0.334,0.334,KIRC,0.7071,0.59,0.7159,0.85,0.7009,
TCGA-CZ-4860-01A,0.001,0.0,0.011,0.0,0.007,0.0,0.0,0.026,0.118,0.011,0.168,0.0,0.0,0.0,0.0,0.657,0.657,KIRC,0.7022,0.75,,0.85,0.74,
TCGA-A3-3351-01A,0.004,0.001,0.014,0.018,0.044,0.0,0.05,0.206,0.001,0.143,0.194,0.008,0.001,0.018,0.001,0.297,0.297,KIRC,0.534,0.57,,0.7375,0.7034,
TCGA-B8-4148-01A,0.009,0.001,0.008,0.055,0.04,0.0,0.027,0.248,0.001,0.124,0.153,0.0,0.012,0.012,0.0,0.31,0.31,KIRC,0.5708,0.55,,0.9,0.6844,
TCGA-BP-4345-01A,0.001,0.0,0.019,0.0,0.012,0.0,0.006,0.238,0.235,0.28,0.168,0.0,0.003,0.001,0.001,0.035,0.035,KIRC,0.4398,,,0.8,0.2497,
