,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-AG-3896-01A,0.014,0.0,0.006,0.004,0.0,0.001,0.017,0.039,0.041,0.015,0.035,0.0,0.001,0.0,0.0,0.826,0.826,READ,,0.63,,0.7,0.7479,
TCGA-DC-4745-01A,0.0,0.0,0.006,0.001,0.0,0.002,0.009,0.03,0.03,0.019,0.018,0.0,0.0,0.0,0.0,0.884,0.884,READ,0.9069,0.8,0.9118,0.75,0.9214,
TCGA-AH-6903-01A,0.003,0.0,0.003,0.003,0.0,0.0,0.004,0.01,0.012,0.007,0.008,0.0,0.0,0.0,0.0,0.949,0.949,READ,0.9648,0.64,0.8045,0.75,0.7982,
TCGA-AG-3599-01A,0.008,0.0,0.006,0.011,0.0,0.0,0.016,0.012,0.018,0.009,0.026,0.001,0.0,0.0,0.0,0.891,0.891,READ,,0.83,,0.8,0.8929,
TCGA-AG-3581-01A,0.015,0.0,0.007,0.008,0.0,0.0,0.012,0.026,0.031,0.008,0.03,0.001,0.001,0.002,0.0,0.859,0.859,READ,,0.65,,0.75,0.7792,
TCGA-AG-3881-01A,0.008,0.0,0.006,0.004,0.001,0.0,0.023,0.052,0.103,0.039,0.067,0.0,0.003,0.001,0.0,0.691,0.691,READ,,0.67,,0.7,0.8171,
TCGA-CL-5917-01A,0.0,0.0,0.003,0.002,0.0,0.0,0.0,0.025,0.057,0.007,0.012,0.0,0.0,0.004,0.0,0.888,0.888,READ,0.9472,0.79,0.868,0.8,0.912,
TCGA-AG-3902-01A,0.014,0.0,0.016,0.037,0.003,0.0,0.028,0.023,0.03,0.008,0.059,0.002,0.0,0.004,0.0,0.774,0.774,READ,0.8382,0.53,,0.7,0.6655,
TCGA-CI-6624-01C,0.014,0.002,0.014,0.001,0.005,0.0,0.019,0.041,0.066,0.009,0.054,0.003,0.0,0.004,0.0,0.768,0.768,READ,0.8149,0.35,0.6904,0.65,0.671,
TCGA-AF-2692-01A,0.01,0.0,0.002,0.005,0.001,0.0,0.016,0.023,0.043,0.01,0.013,0.0,0.0,0.005,0.0,0.871,0.871,READ,,0.74,,0.8,0.8279,
TCGA-DC-6683-01A,0.0,0.0,0.003,0.002,0.0,0.0,0.0,0.014,0.053,0.004,0.037,0.0,0.0,0.0,0.0,0.886,0.886,READ,0.9023,0.61,0.7573,0.75,0.7454,
TCGA-DC-6682-01A,0.0,0.002,0.002,0.01,0.0,0.0,0.003,0.012,0.013,0.005,0.007,0.0,0.0,0.0,0.0,0.946,0.946,READ,0.9534,0.49,0.7534,0.775,0.7235,
TCGA-F5-6702-01A,0.01,0.0,0.016,0.006,0.0,0.0,0.003,0.052,0.338,0.019,0.088,0.001,0.0,0.004,0.001,0.462,0.462,READ,0.6982,0.32,0.7578,0.8,0.629,
TCGA-AF-4110-01A,0.048,0.0,0.014,0.014,0.002,0.0,0.023,0.049,0.09,0.013,0.045,0.002,0.0,0.003,0.0,0.695,0.695,READ,0.7828,0.42,0.7075,0.5167,0.6965,
TCGA-F5-6861-01A,0.0,0.0,0.003,0.008,0.0,0.0,0.002,0.02,0.037,0.014,0.025,0.0,0.0,0.0,0.0,0.89,0.89,READ,0.9319,,0.6728,0.8,0.769,
TCGA-G5-6235-01A,0.001,0.002,0.0,0.006,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.98,READ,0.9792,0.33,0.8155,0.755,0.7823,
TCGA-AG-3999-01A,0.001,0.0,0.001,0.002,0.0,0.0,0.006,0.014,0.055,0.01,0.019,0.0,0.0,0.001,0.0,0.891,0.891,READ,,0.73,,0.8,0.7897,
TCGA-AG-A02N-01A,0.004,0.0,0.001,0.004,0.013,0.0,0.0,0.008,0.006,0.0,0.019,0.0,0.0,0.0,0.0,0.942,0.942,READ,,0.84,0.651,0.825,0.7019,
TCGA-AF-6136-01A,0.007,0.002,0.005,0.0,0.005,0.0,0.008,0.037,0.024,0.007,0.012,0.008,0.0,0.001,0.0,0.885,0.885,READ,0.9258,0.59,0.7889,0.75,0.789,
TCGA-AG-3580-01A,0.015,0.0,0.004,0.011,0.0,0.0,0.013,0.016,0.01,0.008,0.014,0.0,0.0,0.001,0.0,0.907,0.907,READ,,0.71,,0.8,0.8137,
TCGA-DY-A1H8-01A,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.996,0.996,READ,0.9887,0.89,0.9063,0.8,0.9599,
TCGA-AG-A032-01A,0.003,0.0,0.003,0.004,0.0,0.0,0.008,0.018,0.026,0.004,0.008,0.0,0.0,0.0,0.0,0.926,0.926,READ,,0.69,,0.7,0.7819,
TCGA-EI-6512-01A,0.0,0.0,0.005,0.004,0.0,0.0,0.001,0.024,0.016,0.001,0.028,0.0,0.0,0.004,0.0,0.916,0.916,READ,0.9142,0.63,0.746,0.8,0.7758,
TCGA-AG-3575-01A,0.001,0.0,0.007,0.003,0.001,0.0,0.009,0.021,0.089,0.012,0.035,0.0,0.0,0.0,0.0,0.822,0.822,READ,,0.74,,0.85,0.7386,
TCGA-AF-6672-01A,0.006,0.01,0.0,0.006,0.001,0.006,0.007,0.017,0.027,0.004,0.008,0.001,0.0,0.001,0.0,0.904,0.904,READ,0.9426,0.71,0.7331,0.8,0.8137,
TCGA-EI-6514-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.018,0.059,0.013,0.023,0.0,0.0,0.0,0.0,0.884,0.884,READ,0.8862,0.72,0.8866,0.8,0.8508,
