,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-32-2616-01A,0.0,0.0,0.007,0.0,0.008,0.0,0.0,0.016,0.0,0.022,0.144,0.0,0.0,0.004,0.0,0.798,0.798,GBM,0.8667,0.82,,0.85,0.836,
TCGA-32-1980-01A,0.0,0.0,0.012,0.0,0.031,0.001,0.0,0.081,0.045,0.052,0.218,0.007,0.001,0.005,0.001,0.544,0.544,GBM,0.7042,,0.7362,0.3,0.6089,
TCGA-28-2514-01A,0.0,0.0,0.007,0.0,0.014,0.0,0.0,0.086,0.01,0.043,0.092,0.004,0.0,0.009,0.0,0.733,0.733,GBM,0.9072,0.88,,0.8,0.8845,
TCGA-06-0644-01A,0.001,0.0,0.027,0.0,0.003,0.0,0.0,0.03,0.224,0.007,0.186,0.0,0.0,0.001,0.0,0.519,0.519,GBM,0.6744,0.64,,0.95,0.7697,
TCGA-06-1804-01A,0.0,0.0,0.008,0.007,0.016,0.001,0.0,0.063,0.029,0.041,0.099,0.017,0.002,0.013,0.001,0.7,0.7,GBM,0.8919,0.82,0.7974,0.675,0.8302,
TCGA-41-2571-01A,0.0,0.0,0.002,0.003,0.008,0.001,0.0,0.025,0.008,0.014,0.122,0.001,0.006,0.004,0.0,0.807,0.807,GBM,0.9268,0.78,,0.8,0.9025,
TCGA-19-2619-01A,0.0,0.0,0.003,0.0,0.006,0.0,0.0,0.068,0.009,0.041,0.058,0.001,0.0,0.009,0.0,0.803,0.803,GBM,0.9061,0.89,,0.85,0.97,
TCGA-27-1837-01A,0.0,0.0,0.007,0.001,0.003,0.0,0.001,0.058,0.007,0.029,0.132,0.004,0.004,0.004,0.0,0.75,0.75,GBM,0.8521,0.82,,0.875,0.8097,
TCGA-27-1832-01A,0.002,0.0,0.01,0.003,0.021,0.0,0.004,0.022,0.14,0.083,0.175,0.002,0.0,0.003,0.003,0.531,0.531,GBM,0.7211,0.6,,0.95,0.7318,
TCGA-06-0686-01A,0.0,0.0,0.012,0.0,0.005,0.0,0.001,0.055,0.013,0.044,0.134,0.002,0.002,0.004,0.0,0.728,0.728,GBM,0.8824,0.75,,0.925,0.8508,
TCGA-06-5856-01A,0.0,0.0,0.006,0.001,0.009,0.0,0.0,0.055,0.01,0.033,0.15,0.001,0.001,0.004,0.0,0.73,0.73,GBM,0.8253,0.76,0.8303,0.85,0.8356,
TCGA-28-1753-01A,0.0,0.0,0.009,0.001,0.016,0.0,0.001,0.077,0.083,0.059,0.259,0.002,0.0,0.004,0.0,0.488,0.488,GBM,0.6715,0.62,,0.9,0.7508,
TCGA-28-5218-01A,0.0,0.0,0.041,0.001,0.017,0.0,0.0,0.089,0.496,0.015,0.16,0.0,0.0,0.004,0.0,0.174,0.174,GBM,0.5645,0.6,0.6162,0.8,0.6578,
TCGA-32-1970-01A,0.0,0.0,0.009,0.001,0.016,0.0,0.0,0.067,0.009,0.027,0.1,0.004,0.001,0.007,0.0,0.759,0.759,GBM,0.9012,0.87,,0.875,0.8763,
TCGA-28-5204-01A,0.0,0.0,0.013,0.001,0.009,0.0,0.0,0.069,0.007,0.036,0.122,0.002,0.0,0.004,0.0,0.737,0.737,GBM,0.8696,0.89,0.9436,0.85,0.9022,
TCGA-12-3653-01A,0.004,0.0,0.009,0.0,0.002,0.0,0.0,0.042,0.0,0.014,0.123,0.0,0.0,0.004,0.0,0.8,0.8,GBM,0.8653,0.92,,0.85,0.8276,
TCGA-06-0187-01A,0.0,0.0,0.002,0.0,0.002,0.0,0.0,0.042,0.004,0.065,0.151,0.0,0.001,0.006,0.0,0.725,0.725,GBM,0.8154,0.87,,1.0,0.9253,
TCGA-19-2624-01A,0.0,0.0,0.004,0.008,0.004,0.0,0.0,0.064,0.001,0.03,0.052,0.001,0.0,0.003,0.0,0.832,0.832,GBM,0.9757,0.94,,0.85,0.9775,
TCGA-12-3652-01A,0.006,0.0,0.001,0.0,0.001,0.0,0.0,0.016,0.0,0.015,0.046,0.0,0.0,0.0,0.0,0.914,0.914,GBM,0.9378,0.92,,0.85,0.926,
TCGA-12-5299-01A,0.0,0.0,0.007,0.0,0.001,0.0,0.0,0.027,0.005,0.037,0.142,0.0,0.0,0.003,0.0,0.779,0.779,GBM,0.8403,0.91,1.0,0.8,0.9716,
TCGA-06-0749-01A,0.0,0.0,0.005,0.0,0.016,0.001,0.0,0.042,0.008,0.031,0.238,0.017,0.0,0.003,0.0,0.637,0.637,GBM,0.8034,0.57,,0.825,0.7436,
TCGA-06-0158-01A,0.0,0.0,0.006,0.0,0.016,0.0,0.0,0.063,0.011,0.042,0.167,0.006,0.0,0.01,0.0,0.678,0.678,GBM,0.8152,0.79,,0.975,0.7596,
TCGA-19-1390-01A,0.0,0.0,0.005,0.003,0.0,0.0,0.0,0.03,0.0,0.014,0.09,0.0,0.0,0.01,0.0,0.845,0.845,GBM,0.9535,0.91,,1.0,0.9474,
TCGA-28-2510-01A,0.0,0.0,0.009,0.001,0.02,0.006,0.0,0.092,0.031,0.07,0.121,0.017,0.0,0.008,0.002,0.622,0.622,GBM,0.8812,0.3,0.7176,0.35,0.5752,
