,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-EL-A3D0-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.096,0.107,0.052,0.014,0.0,0.0,0.001,0.0,0.726,0.726,THCA,0.8697,,0.9955,0.65,0.8336,
TCGA-J8-A4HY-01A,0.012,0.0,0.004,0.006,0.0,0.0,0.007,0.087,0.0,0.041,0.055,0.0,0.0,0.0,0.0,0.788,0.788,THCA,0.902,,0.9423,0.95,0.8775,
TCGA-L6-A4ET-01A,0.007,0.0,0.002,0.004,0.0,0.001,0.004,0.099,0.0,0.043,0.01,0.0,0.0,0.001,0.0,0.829,0.829,THCA,0.9602,,1.0,0.99,0.97,
TCGA-DE-A4MC-01A,0.0,0.0,0.022,0.011,0.0,0.0,0.028,0.051,0.003,0.036,0.027,0.0,0.0,0.001,0.0,0.822,0.822,THCA,0.8296,,0.8248,1.0,0.7913,
TCGA-ET-A25K-01A,0.01,0.0,0.007,0.002,0.0,0.0,0.001,0.238,0.046,0.072,0.039,0.007,0.0,0.003,0.0,0.576,0.576,THCA,0.888,,0.9205,0.85,0.8584,
TCGA-DJ-A3UU-01A,0.025,0.0,0.022,0.011,0.004,0.001,0.019,0.104,0.114,0.052,0.073,0.0,0.0,0.004,0.0,0.57,0.57,THCA,0.8013,,0.9295,0.8,0.7913,
TCGA-EM-A1YA-01A,0.016,0.0,0.001,0.0,0.0,0.0,0.0,0.13,0.0,0.056,0.038,0.0,0.0,0.001,0.0,0.758,0.758,THCA,0.9461,,0.8892,0.9,0.9046,
TCGA-CE-A483-01A,0.003,0.0,0.001,0.003,0.0,0.0,0.0,0.108,0.0,0.033,0.031,0.0,0.0,0.001,0.0,0.819,0.819,THCA,0.9403,,1.0,1.0,0.9294,
TCGA-DJ-A3VD-01A,0.05,0.059,0.057,0.018,0.011,0.001,0.059,0.094,0.167,0.021,0.103,0.001,0.002,0.008,0.0,0.35,0.35,THCA,0.5967,,0.6114,0.75,0.4628,
TCGA-BJ-A28S-01A,0.011,0.0,0.0,0.001,0.0,0.0,0.0,0.169,0.0,0.074,0.019,0.0,0.0,0.003,0.0,0.722,0.722,THCA,0.9475,,1.0,0.9,0.9392,
TCGA-FY-A3R9-01A,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.115,0.0,0.031,0.011,0.0,0.0,0.0,0.0,0.822,0.822,THCA,0.9384,,0.9456,0.88,0.9269,
