,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-A5-A0R8-01A,0.022,0.0,0.01,0.004,0.004,0.0,0.033,0.057,0.037,0.02,0.031,0.0,0.001,0.006,0.0,0.775,0.775,UCEC,,,,0.725,0.8806,
TCGA-A5-A0G3-01A,0.019,0.0,0.01,0.006,0.001,0.004,0.012,0.03,0.064,0.023,0.022,0.0,0.001,0.005,0.0,0.803,0.803,UCEC,,0.83,,0.9,0.8706,
TCGA-AP-A054-01A,0.0,0.0,0.035,0.009,0.04,0.001,0.003,0.028,0.041,0.015,0.004,0.001,0.0,0.003,0.003,0.816,0.816,UCEC,,0.95,,0.91,0.8956,
TCGA-A5-A0GX-01A,0.035,0.0,0.014,0.003,0.016,0.001,0.01,0.067,0.171,0.028,0.031,0.0,0.0,0.001,0.0,0.622,0.622,UCEC,,0.31,,0.85,0.5794,
TCGA-DI-A2QY-01A,0.009,0.0,0.004,0.001,0.001,0.0,0.004,0.024,0.047,0.003,0.006,0.0,0.0,0.0,0.0,0.9,0.9,UCEC,0.9692,0.68,0.9145,0.9,0.871,
TCGA-EY-A1GC-01A,0.064,0.0,0.058,0.006,0.011,0.0,0.011,0.023,0.004,0.002,0.125,0.0,0.0,0.0,0.0,0.693,0.693,UCEC,,0.58,0.6692,0.85,0.7019,
TCGA-A5-A0GI-01A,0.015,0.0,0.028,0.002,0.001,0.0,0.01,0.027,0.028,0.009,0.012,0.0,0.0,0.001,0.0,0.866,0.866,UCEC,,0.97,,0.9,0.8063,
TCGA-D1-A17S-01A,0.026,0.0,0.0,0.0,0.0,0.0,0.005,0.019,0.008,0.0,0.018,0.0,0.0,0.0,0.0,0.922,0.922,UCEC,,0.86,0.7981,0.9,0.7975,
TCGA-EY-A5W2-01A,0.019,0.0,0.006,0.01,0.001,0.0,0.0,0.008,0.016,0.005,0.028,0.0,0.0,0.0,0.0,0.907,0.907,UCEC,0.9033,,0.9548,0.8,0.8806,
TCGA-D1-A1NU-01A,0.011,0.0,0.012,0.007,0.0,0.001,0.003,0.03,0.02,0.001,0.026,0.0,0.0,0.004,0.0,0.884,0.884,UCEC,,0.87,0.8447,0.65,0.8523,
TCGA-BG-A18A-01A,0.018,0.0,0.01,0.006,0.006,0.0,0.012,0.08,0.106,0.029,0.021,0.0,0.003,0.003,0.0,0.704,0.704,UCEC,,0.62,0.8846,0.6,0.7508,
TCGA-AX-A06B-01A,0.025,0.0,0.025,0.006,0.01,0.0,0.009,0.064,0.109,0.019,0.047,0.001,0.0,0.001,0.0,0.682,0.682,UCEC,,0.68,,0.785,0.8442,
TCGA-E6-A2P9-01A,0.017,0.0,0.017,0.015,0.014,0.0,0.006,0.022,0.006,0.0,0.014,0.0,0.0,0.003,0.0,0.886,0.886,UCEC,0.9514,0.86,0.906,0.96,0.9344,
TCGA-PG-A917-01A,0.023,0.0,0.032,0.048,0.001,0.0,0.006,0.038,0.021,0.001,0.078,0.0,0.0,0.0,0.0,0.751,0.751,UCEC,0.8571,,0.8154,0.8,0.8178,
TCGA-AX-A3FS-01A,0.0,0.0,0.015,0.006,0.001,0.0,0.0,0.036,0.071,0.059,0.008,0.0,0.0,0.0,0.001,0.802,0.802,UCEC,0.9228,0.88,0.5017,0.95,0.8932,
TCGA-A5-A2K4-01A,0.01,0.001,0.007,0.008,0.003,0.0,0.008,0.069,0.065,0.002,0.02,0.0,0.0,0.005,0.0,0.801,0.801,UCEC,0.911,0.48,0.7549,0.75,0.7468,
TCGA-D1-A1O0-01A,0.012,0.0,0.007,0.014,0.001,0.0,0.0,0.033,0.016,0.008,0.025,0.001,0.0,0.001,0.0,0.88,0.88,UCEC,,0.85,0.969,0.95,0.9836,
TCGA-B5-A0JS-01A,0.032,0.0,0.019,0.004,0.0,0.0,0.022,0.042,0.032,0.003,0.023,0.0,0.011,0.0,0.0,0.811,0.811,UCEC,,0.58,,0.825,0.7856,
TCGA-AX-A1CE-01A,0.009,0.0,0.004,0.004,0.002,0.0,0.0,0.014,0.005,0.0,0.015,0.0,0.0,0.001,0.0,0.946,0.946,UCEC,,,0.8455,0.8,0.8222,
TCGA-D1-A17F-01A,0.017,0.0,0.009,0.01,0.0,0.0,0.023,0.033,0.007,0.0,0.054,0.0,0.0,0.0,0.0,0.846,0.846,UCEC,,0.67,0.6806,0.65,0.7982,
TCGA-EO-A3AV-01A,0.041,0.0,0.02,0.067,0.0,0.0,0.005,0.022,0.015,0.004,0.048,0.0,0.0,0.009,0.0,0.767,0.767,UCEC,0.7712,0.22,0.5597,0.9,0.6085,
TCGA-D1-A17B-01A,0.048,0.001,0.05,0.007,0.013,0.0,0.04,0.072,0.078,0.009,0.101,0.001,0.002,0.027,0.0,0.55,0.55,UCEC,,,0.4742,0.7,0.6264,
TCGA-E6-A8L9-01A,0.006,0.0,0.013,0.03,0.014,0.003,0.003,0.05,0.062,0.021,0.03,0.0,0.013,0.003,0.0,0.751,0.751,UCEC,0.8464,,0.6942,0.7,0.7913,
TCGA-EY-A547-01A,0.016,0.0,0.014,0.001,0.003,0.001,0.001,0.02,0.011,0.009,0.027,0.0,0.003,0.0,0.0,0.894,0.894,UCEC,0.9845,,1.0,0.8,0.9894,
TCGA-AJ-A3OJ-01A,0.004,0.0,0.004,0.02,0.001,0.0,0.0,0.021,0.027,0.0,0.05,0.0,0.0,0.002,0.0,0.87,0.87,UCEC,0.8717,0.63,0.8593,0.8,0.7983,
TCGA-BS-A0TJ-01A,0.008,0.0,0.019,0.013,0.002,0.0,0.002,0.029,0.054,0.011,0.016,0.0,0.0,0.003,0.0,0.843,0.843,UCEC,,,,0.93,0.8583,
TCGA-BG-A0VV-01A,0.02,0.0,0.012,0.001,0.0,0.0,0.018,0.041,0.028,0.0,0.022,0.0,0.0,0.0,0.0,0.858,0.858,UCEC,,0.64,0.8442,0.65,0.7697,
TCGA-D1-A16V-01A,0.022,0.0,0.027,0.02,0.0,0.0,0.009,0.028,0.01,0.005,0.034,0.0,0.0,0.003,0.0,0.84,0.84,UCEC,,0.82,0.861,0.9,0.8714,
TCGA-EO-A22R-01A,0.006,0.0,0.019,0.013,0.001,0.0,0.001,0.031,0.028,0.0,0.04,0.0,0.0,0.004,0.0,0.858,0.858,UCEC,,,0.8919,0.8,0.7602,
TCGA-BG-A0MH-01A,0.042,0.002,0.024,0.016,0.014,0.001,0.023,0.06,0.123,0.016,0.061,0.001,0.001,0.003,0.0,0.612,0.612,UCEC,,,0.8396,0.5,0.7741,
TCGA-EO-A3KX-01A,0.005,0.0,0.008,0.01,0.001,0.0,0.0,0.023,0.01,0.0,0.008,0.0,0.0,0.002,0.0,0.934,0.934,UCEC,0.982,,0.9457,0.95,0.9709,
TCGA-AX-A0IS-01A,0.009,0.0,0.004,0.0,0.0,0.0,0.004,0.023,0.047,0.007,0.009,0.0,0.0,0.0,0.0,0.895,0.895,UCEC,,0.84,1.0,0.85,0.9594,
TCGA-EY-A1G8-01A,0.006,0.0,0.005,0.003,0.001,0.0,0.0,0.025,0.004,0.0,0.008,0.0,0.0,0.0,0.0,0.948,0.948,UCEC,,0.76,0.9668,0.9,0.8835,
TCGA-EY-A1GW-01A,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.0,0.002,0.006,0.0,0.0,0.0,0.0,0.926,0.926,UCEC,,0.97,0.9618,0.8,0.9899,
TCGA-BG-A0RY-01A,0.006,0.0,0.003,0.0,0.0,0.0,0.033,0.019,0.005,0.0,0.029,0.0,0.0,0.004,0.0,0.9,0.9,UCEC,,0.78,,0.875,0.8692,
TCGA-D1-A1NY-01A,0.009,0.0,0.018,0.009,0.001,0.0,0.006,0.037,0.079,0.009,0.017,0.0,0.0,0.002,0.0,0.812,0.812,UCEC,,0.93,0.7733,0.8,0.7684,
TCGA-B5-A3S1-01A,0.007,0.002,0.02,0.004,0.004,0.0,0.007,0.023,0.04,0.0,0.032,0.0,0.0,0.002,0.0,0.857,0.857,UCEC,0.9269,,0.8446,0.9,0.8521,
TCGA-A5-A2K5-01A,0.012,0.0,0.016,0.006,0.001,0.0,0.0,0.01,0.013,0.004,0.059,0.0,0.0,0.0,0.0,0.879,0.879,UCEC,0.888,,0.8085,0.9,0.8098,
TCGA-AX-A062-01A,0.0,0.0,0.002,0.002,0.0,0.0,0.001,0.03,0.059,0.0,0.005,0.0,0.0,0.0,0.0,0.902,0.902,UCEC,,0.93,,0.85,0.9403,
TCGA-A5-A0G5-01A,0.111,0.0,0.053,0.087,0.024,0.0,0.012,0.032,0.013,0.02,0.14,0.001,0.0,0.002,0.0,0.504,0.504,UCEC,,0.5,,0.775,0.6248,
TCGA-AP-A0LH-01A,0.005,0.0,0.012,0.005,0.0,0.0,0.01,0.017,0.014,0.0,0.012,0.0,0.0,0.0,0.0,0.924,0.924,UCEC,,0.89,,0.75,0.9135,
TCGA-BS-A0WQ-01A,0.002,0.0,0.002,0.0,0.001,0.0,0.001,0.023,0.015,0.002,0.01,0.0,0.0,0.0,0.0,0.944,0.944,UCEC,,0.97,0.8773,0.825,0.8906,
TCGA-FI-A2EY-01A,0.001,0.0,0.0,0.0,0.0,0.001,0.002,0.011,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.98,0.98,UCEC,0.9753,0.9,0.9542,0.85,0.979,
TCGA-EY-A549-01A,0.022,0.0,0.01,0.002,0.009,0.0,0.01,0.026,0.006,0.006,0.021,0.0,0.0,0.002,0.0,0.885,0.885,UCEC,0.949,,0.8949,0.8,0.9253,
TCGA-FI-A2D0-01A,0.003,0.0,0.02,0.018,0.0,0.0,0.003,0.059,0.039,0.002,0.001,0.0,0.0,0.009,0.0,0.846,0.846,UCEC,,,0.9578,0.6,0.5309,
TCGA-BS-A0V7-01A,0.024,0.0,0.01,0.001,0.002,0.006,0.015,0.071,0.423,0.044,0.045,0.0,0.002,0.002,0.0,0.353,0.353,UCEC,0.6524,,0.8468,0.575,0.8548,
