,B Cells_marker_mean,CAFs_marker_mean,CD4 T_marker_mean,CD8 T_marker_mean,DC_marker_mean,Endothelial Cells_marker_mean,Macrophages_marker_mean,Mast Cells_marker_mean,Monocytes_marker_mean,Myofibroblasts_marker_mean,NK_marker_mean,Neutrophils_marker_mean,Cancer Cells_marker_mean,Unnamed: 0,cancer_type,reference_dataset,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,B Cells,CD8 T,Fibroblasts
TCGA-OR-A5LO-01A,9.165,11.501,11.964,1.0,1.0,88.238,18.159,1.0,1.0,229.839,5.311,1.0,7.775,500,ACC,simu_bulk_2ds_ref,0.008,0.0,0.0,0.0,0.0,0.0,0.897,0.0,0.037,0.0,0.051,0.005,0.0,0.0,0.001,0.0,0.008,0.0,0.051
TCGA-P6-A5OG-01A,10.872,88.245,23.429,15.674,8.669,447.294,996.962,2.441,7.795,210.894,137.815,70.112,30.529,501,ACC,simu_bulk_2ds_ref,0.001,0.0,0.02,0.02,0.005,0.0,0.321,0.0,0.21,0.1,0.173,0.129,0.001,0.0,0.013,0.008,0.001,0.025,0.273
TCGA-OR-A5J6-01A,1.033,2.842,20.822,1.0,11.959,95.067,546.784,1.0,2.554,1043.332,11.308,1.449,70.154,502,ACC,simu_bulk_2ds_ref,0.002,0.0,0.0,0.0,0.0,0.0,0.758,0.0,0.095,0.0,0.009,0.135,0.001,0.0,0.0,0.0,0.002,0.0,0.009
TCGA-OR-A5LT-01A,1.937,5.171,21.914,1.0,1.0,24.828,66.614,1.0,1.0,391.27,3.228,1.0,20.964,503,ACC,simu_bulk_2ds_ref,0.0,0.0,0.0,0.0,0.0,0.0,0.969,0.0,0.0,0.0,0.019,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.019
TCGA-OR-A5JY-01A,12.58,2.246,8.789,1.0,1.0,150.721,257.685,1.0,1.0,380.298,5.246,1.553,20.963,504,ACC,simu_bulk_2ds_ref,0.0,0.0,0.002,0.002,0.0,0.0,0.897,0.0,0.046,0.0,0.009,0.041,0.0,0.0,0.003,0.0,0.0,0.002,0.009
TCGA-OR-A5JV-01A,1.204,29.725,102.698,2.046,9.038,93.155,856.771,1.0,1.116,707.327,8.401,8.595,14.615,505,ACC,simu_bulk_2ds_ref,0.0,0.0,0.001,0.0,0.003,0.0,0.574,0.0,0.037,0.0,0.024,0.354,0.001,0.0,0.005,0.0,0.0,0.003,0.024
TCGA-OR-A5JT-01A,1.775,5.185,29.333,1.0,1.0,93.651,57.507,1.566,1.0,956.338,18.489,1.0,5.582,506,ACC,simu_bulk_2ds_ref,0.0,0.0,0.0,0.0,0.001,0.0,0.896,0.0,0.042,0.001,0.039,0.021,0.0,0.0,0.0,0.0,0.0,0.001,0.04
TCGA-OR-A5KX-01A,4.321,23.168,8.26,1.0,1.0,125.947,94.536,5.502,3.49,1083.466,6.471,1.0,91.084,507,ACC,simu_bulk_2ds_ref,0.0,0.0,0.0,0.0,0.0,0.0,0.884,0.0,0.081,0.0,0.011,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.011
TCGA-OR-A5K3-01A,3.568,3.13,15.746,1.0,1.0,25.463,105.658,1.0,1.0,394.41,2.348,1.0,5.354,508,ACC,simu_bulk_2ds_ref,0.001,0.0,0.0,0.0,0.0,0.0,0.959,0.0,0.007,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.001,0.0,0.0
TCGA-OR-A5JZ-01A,3.046,10.531,23.804,1.368,2.933,86.441,120.64,1.512,1.0,1388.527,11.14,1.0,133.361,509,ACC,simu_bulk_2ds_ref,0.0,0.0,0.0,0.0,0.0,0.0,0.872,0.0,0.04,0.001,0.054,0.028,0.002,0.0,0.002,0.0,0.0,0.0,0.055
TCGA-OR-A5LC-01A,18.798,29.547,3.958,1.0,1.0,88.942,211.27,1.0,1.0,486.919,4.792,1.0,42.178,510,ACC,simu_bulk_2ds_ref,0.0,0.0,0.0,0.0,0.0,0.0,0.838,0.0,0.068,0.025,0.044,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.069
TCGA-OR-A5LH-01A,3.735,4.392,5.422,2.166,1.0,70.808,211.24,1.0,1.0,509.353,24.485,1.0,92.007,511,ACC,simu_bulk_2ds_ref,0.002,0.0,0.001,0.0,0.005,0.0,0.838,0.0,0.065,0.0,0.025,0.061,0.001,0.0,0.002,0.0,0.002,0.005,0.025
TCGA-OR-A5LM-01A,1.973,5.187,8.477,1.0,1.0,56.935,141.627,1.0,1.0,421.402,5.662,1.0,5.245,512,ACC,simu_bulk_2ds_ref,0.003,0.0,0.0,0.0,0.001,0.0,0.902,0.0,0.042,0.0,0.02,0.032,0.0,0.0,0.001,0.0,0.003,0.001,0.02
TCGA-OR-A5J5-01A,3.584,13.364,7.411,1.0,1.0,47.957,43.33,1.0,1.0,292.73,5.175,1.0,10.583,513,ACC,simu_bulk_2ds_ref,0.003,0.0,0.0,0.0,0.001,0.0,0.885,0.0,0.023,0.001,0.072,0.015,0.0,0.0,0.0,0.0,0.003,0.001,0.073
TCGA-P6-A5OF-01A,7.66,18.403,14.585,1.0,1.0,97.513,133.975,1.0,1.0,219.025,3.191,2.855,10.562,514,ACC,simu_bulk_2ds_ref,0.0,0.0,0.0,0.0,0.0,0.0,0.759,0.0,0.064,0.024,0.108,0.04,0.0,0.0,0.004,0.0,0.0,0.0,0.132
TCGA-OR-A5LD-01A,37.798,4.975,1.681,1.0,1.0,37.175,9.039,1.0,1.0,599.222,2.343,1.0,3.603,515,ACC,simu_bulk_2ds_ref,0.0,0.0,0.0,0.0,0.0,0.0,0.896,0.0,0.013,0.001,0.089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09
