,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-V1-A9OF-01A,0.004,0.0,0.006,0.0,0.002,0.0,0.003,0.022,0.008,0.002,0.023,0.003,0.0,0.002,0.0,0.925,0.925,PRAD,0.9682,,,0.8,0.5219,
TCGA-ZG-A8QX-01A,0.011,0.0,0.004,0.0,0.003,0.0,0.007,0.021,0.052,0.072,0.011,0.003,0.0,0.001,0.0,0.815,0.815,PRAD,0.9474,,0.8224,0.9,0.826,
TCGA-YL-A8SC-01A,0.005,0.0,0.013,0.007,0.009,0.0,0.005,0.034,0.058,0.006,0.032,0.003,0.0,0.005,0.0,0.822,0.822,PRAD,0.8819,,0.8354,0.85,0.8413,
TCGA-HC-7817-01B,0.011,0.0,0.018,0.001,0.008,0.0,0.022,0.059,0.161,0.032,0.033,0.002,0.0,0.004,0.0,0.648,0.648,PRAD,0.8211,,0.8469,0.7,0.836,
TCGA-KC-A7F6-01A,0.003,0.0,0.003,0.0,0.006,0.0,0.006,0.055,0.058,0.027,0.009,0.0,0.0,0.002,0.0,0.831,0.831,PRAD,0.9453,,0.9881,0.7,0.9362,
TCGA-KK-A7B4-01A,0.005,0.0,0.012,0.002,0.01,0.0,0.012,0.021,0.07,0.004,0.019,0.0,0.0,0.003,0.0,0.842,0.842,PRAD,0.9082,,0.8962,0.9,0.8859,
TCGA-G9-6366-01A,0.02,0.0,0.002,0.0,0.005,0.0,0.0,0.03,0.018,0.022,0.009,0.0,0.0,0.001,0.0,0.893,0.893,PRAD,0.9646,,0.9297,0.8,0.9522,
TCGA-KK-A59X-01A,0.009,0.0,0.004,0.0,0.001,0.0,0.001,0.022,0.054,0.017,0.028,0.0,0.0,0.001,0.0,0.862,0.862,PRAD,0.9239,,0.9765,0.85,0.9072,
TCGA-HC-A6AN-01A,0.015,0.0,0.005,0.0,0.008,0.0,0.0,0.027,0.037,0.015,0.027,0.0,0.0,0.0,0.0,0.864,0.864,PRAD,0.9225,,0.963,0.85,0.9053,
TCGA-G9-6498-01A,0.003,0.0,0.008,0.0,0.008,0.0,0.005,0.058,0.171,0.033,0.005,0.005,0.0,0.0,0.0,0.703,0.703,PRAD,0.8371,,0.852,0.9,0.8251,
TCGA-J4-AATZ-01A,0.008,0.0,0.004,0.0,0.002,0.0,0.004,0.021,0.012,0.008,0.01,0.0,0.0,0.003,0.0,0.927,0.927,PRAD,0.9704,,,0.7,0.5234,
TCGA-EJ-7317-01A,0.006,0.0,0.002,0.0,0.001,0.0,0.001,0.032,0.034,0.019,0.008,0.0,0.0,0.001,0.0,0.895,0.895,PRAD,0.9587,,1.0,0.7,0.9545,
TCGA-SU-A7E7-01A,0.012,0.0,0.012,0.001,0.017,0.0,0.012,0.058,0.068,0.028,0.013,0.003,0.0,0.004,0.0,0.772,0.772,PRAD,0.9105,,0.931,0.6,0.889,
TCGA-XJ-A83F-01A,0.01,0.0,0.0,0.0,0.001,0.0,0.0,0.045,0.038,0.032,0.012,0.0,0.0,0.001,0.0,0.861,0.861,PRAD,0.955,,1.0,0.6,0.9494,
TCGA-2A-AAYO-01A,0.011,0.013,0.027,0.0,0.008,0.001,0.01,0.044,0.1,0.025,0.025,0.008,0.0,0.003,0.0,0.724,0.724,PRAD,0.8326,,,0.9,0.4299,
TCGA-EJ-A46B-01A,0.006,0.0,0.006,0.0,0.002,0.0,0.006,0.041,0.051,0.046,0.01,0.004,0.0,0.002,0.0,0.826,0.826,PRAD,0.964,,0.9817,1.0,0.9808,
TCGA-QU-A6IN-01A,0.011,0.0,0.001,0.001,0.004,0.0,0.0,0.012,0.011,0.014,0.004,0.0,0.0,0.001,0.0,0.941,0.941,PRAD,0.9821,,1.0,0.85,0.9863,
TCGA-KK-A59Z-01A,0.006,0.0,0.0,0.0,0.004,0.0,0.009,0.057,0.098,0.045,0.019,0.003,0.0,0.001,0.0,0.758,0.758,PRAD,0.8594,,1.0,0.8,0.8196,
TCGA-XK-AAJT-01A,0.006,0.0,0.003,0.0,0.004,0.0,0.012,0.062,0.115,0.075,0.021,0.001,0.0,0.001,0.0,0.699,0.699,PRAD,0.8803,,,0.9,0.8643,
TCGA-EJ-7125-01A,0.0,0.0,0.0,0.0,0.003,0.0,0.002,0.048,0.055,0.035,0.025,0.005,0.0,0.001,0.0,0.825,0.825,PRAD,0.9063,,0.9098,0.7,0.8832,
