,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-CV-5442-01A,0.0,0.0,0.0,0.007,0.003,0.0,0.005,0.009,0.0,0.002,0.0,0.0,0.0,0.012,0.005,0.955,0.955,HNSC,0.9748,0.85,0.7133,0.45,0.8333,
TCGA-CR-7392-01A,0.044,0.003,0.052,0.002,0.024,0.0,0.034,0.057,0.202,0.037,0.065,0.0,0.0,0.028,0.001,0.451,0.451,HNSC,0.5745,0.18,0.3944,0.6,0.3832,
TCGA-CN-A642-01A,0.0,0.0,0.008,0.034,0.005,0.0,0.015,0.02,0.034,0.027,0.042,0.0,0.0,0.001,0.0,0.813,0.813,HNSC,0.8051,,0.7098,0.9,0.7019,
TCGA-CV-A45U-01A,0.003,0.0,0.034,0.019,0.011,0.0,0.008,0.018,0.056,0.013,0.017,0.0,0.0,0.009,0.0,0.811,0.811,HNSC,0.9199,,0.6464,0.75,0.7913,
TCGA-CN-6012-01A,0.038,0.0,0.032,0.003,0.01,0.0,0.019,0.055,0.065,0.012,0.059,0.0,0.0,0.019,0.0,0.687,0.687,HNSC,0.795,0.61,0.6929,0.8,0.7367,
TCGA-CV-A45W-01A,0.112,0.017,0.031,0.003,0.022,0.0,0.013,0.05,0.068,0.019,0.084,0.0,0.004,0.013,0.001,0.562,0.562,HNSC,0.7351,,0.5873,0.8,0.6507,
TCGA-CV-A6K0-01B,0.001,0.0,0.053,0.001,0.025,0.0,0.1,0.054,0.184,0.041,0.033,0.0,0.0,0.019,0.0,0.487,0.487,HNSC,0.6557,,0.5425,0.7,0.543,
TCGA-QK-A6VB-01A,0.0,0.0,0.008,0.0,0.001,0.001,0.0,0.028,0.023,0.02,0.011,0.0,0.0,0.01,0.0,0.896,0.896,HNSC,0.947,,0.4643,0.8,0.7913,
TCGA-CV-6959-01A,0.005,0.0,0.019,0.01,0.005,0.0,0.015,0.08,0.067,0.052,0.042,0.0,0.0,0.022,0.02,0.663,0.663,HNSC,0.7764,0.4,0.6602,0.705,0.6355,
TCGA-HD-7832-01A,0.0,0.0,0.018,0.02,0.004,0.0,0.0,0.017,0.019,0.012,0.059,0.0,0.0,0.009,0.0,0.84,0.84,HNSC,0.855,0.73,0.7592,0.75,0.7827,
TCGA-CV-7255-01A,0.0,0.0,0.005,0.0,0.004,0.0,0.0,0.026,0.023,0.022,0.003,0.0,0.0,0.013,0.0,0.902,0.902,HNSC,0.9509,0.64,0.7071,0.85,0.7697,
TCGA-CR-5243-01A,0.026,0.001,0.06,0.015,0.024,0.0,0.03,0.051,0.134,0.03,0.019,0.0,0.0,0.017,0.0,0.592,0.592,HNSC,0.7756,0.81,0.6993,0.9,0.6936,
TCGA-P3-A6T5-01A,0.0,0.0,0.009,0.002,0.002,0.0,0.015,0.022,0.075,0.018,0.026,0.0,0.0,0.006,0.0,0.824,0.824,HNSC,0.8452,,0.7508,0.65,0.7419,
