,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-32-2616-01A,0.0,0.0,0.003,0.0,0.004,0.0,0.803,0.0,0.021,0.0,0.003,0.164,0.0,0.0,0.002,0.0,GBM,0.8667,0.82,,0.85,0.836,
TCGA-32-1980-01A,0.0,0.0,0.001,0.0,0.015,0.007,0.568,0.001,0.079,0.005,0.047,0.272,0.002,0.001,0.003,0.0,GBM,0.7042,,0.7362,0.3,0.6089,
TCGA-28-2514-01A,0.0,0.0,0.0,0.001,0.006,0.0,0.771,0.008,0.079,0.0,0.037,0.089,0.003,0.0,0.004,0.0,GBM,0.9072,0.88,,0.8,0.8845,
TCGA-06-0644-01A,0.0,0.0,0.011,0.0,0.0,0.0,0.561,0.0,0.049,0.201,0.0,0.174,0.003,0.0,0.001,0.0,GBM,0.6744,0.64,,0.95,0.7697,
TCGA-06-1804-01A,0.0,0.001,0.0,0.0,0.007,0.001,0.812,0.01,0.048,0.003,0.02,0.091,0.0,0.0,0.007,0.0,GBM,0.8919,0.82,0.7974,0.675,0.8302,
TCGA-41-2571-01A,0.0,0.0,0.0,0.0,0.002,0.0,0.858,0.0,0.022,0.0,0.02,0.093,0.001,0.002,0.002,0.0,GBM,0.9268,0.78,,0.8,0.9025,
TCGA-19-2619-01A,0.0,0.0,0.0,0.0,0.001,0.0,0.83,0.003,0.078,0.001,0.017,0.065,0.001,0.0,0.003,0.0,GBM,0.9061,0.89,,0.85,0.97,
TCGA-27-1837-01A,0.0,0.0,0.0,0.002,0.0,0.001,0.763,0.012,0.055,0.003,0.005,0.154,0.002,0.001,0.001,0.0,GBM,0.8521,0.82,,0.875,0.8097,
TCGA-27-1832-01A,0.0,0.0,0.002,0.0,0.007,0.0,0.641,0.006,0.032,0.078,0.003,0.229,0.0,0.0,0.0,0.0,GBM,0.7211,0.6,,0.95,0.7318,
TCGA-06-0686-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.786,0.009,0.053,0.001,0.025,0.122,0.002,0.0,0.002,0.0,GBM,0.8824,0.75,,0.925,0.8508,
TCGA-06-5856-01A,0.0,0.0,0.0,0.001,0.001,0.001,0.769,0.0,0.059,0.004,0.012,0.151,0.0,0.0,0.002,0.0,GBM,0.8253,0.76,0.8303,0.85,0.8356,
TCGA-28-1753-01A,0.0,0.0,0.0,0.0,0.005,0.001,0.497,0.013,0.088,0.071,0.031,0.292,0.001,0.0,0.0,0.0,GBM,0.6715,0.62,,0.9,0.7508,
TCGA-28-5218-01A,0.002,0.0,0.014,0.001,0.02,0.0,0.187,0.0,0.097,0.509,0.001,0.166,0.0,0.001,0.001,0.0,GBM,0.5645,0.6,0.6162,0.8,0.6578,
TCGA-32-1970-01A,0.0,0.0,0.0,0.0,0.004,0.0,0.819,0.014,0.063,0.001,0.01,0.086,0.0,0.0,0.002,0.0,GBM,0.9012,0.87,,0.875,0.8763,
TCGA-28-5204-01A,0.0,0.0,0.001,0.001,0.0,0.0,0.778,0.0,0.083,0.002,0.005,0.125,0.001,0.0,0.001,0.0,GBM,0.8696,0.89,0.9436,0.85,0.9022,
TCGA-12-3653-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.772,0.0,0.056,0.0,0.0,0.169,0.0,0.0,0.001,0.0,GBM,0.8653,0.92,,0.85,0.8276,
TCGA-06-0187-01A,0.0,0.0,0.0,0.001,0.0,0.0,0.753,0.0,0.063,0.005,0.002,0.173,0.0,0.0,0.003,0.0,GBM,0.8154,0.87,,1.0,0.9253,
TCGA-19-2624-01A,0.0,0.0,0.0,0.007,0.0,0.0,0.889,0.0,0.052,0.001,0.011,0.037,0.003,0.0,0.0,0.0,GBM,0.9757,0.94,,0.85,0.9775,
TCGA-12-3652-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.929,0.0,0.031,0.001,0.008,0.03,0.0,0.0,0.001,0.0,GBM,0.9378,0.92,,0.85,0.926,
TCGA-12-5299-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.793,0.0,0.042,0.005,0.01,0.146,0.001,0.0,0.002,0.0,GBM,0.8403,0.91,1.0,0.8,0.9716,
TCGA-06-0749-01A,0.0,0.0,0.0,0.0,0.004,0.002,0.643,0.0,0.047,0.0,0.024,0.271,0.005,0.0,0.003,0.0,GBM,0.8034,0.57,,0.825,0.7436,
TCGA-06-0158-01A,0.0,0.0,0.0,0.0,0.005,0.0,0.698,0.013,0.072,0.001,0.026,0.184,0.0,0.0,0.003,0.0,GBM,0.8152,0.79,,0.975,0.7596,
TCGA-19-1390-01A,0.0,0.0,0.0,0.001,0.0,0.0,0.898,0.0,0.028,0.001,0.009,0.061,0.0,0.0,0.001,0.0,GBM,0.9535,0.91,,1.0,0.9474,
TCGA-28-2510-01A,0.0,0.0,0.001,0.0,0.013,0.005,0.731,0.003,0.061,0.001,0.074,0.105,0.002,0.0,0.004,0.0,GBM,0.8812,0.3,0.7176,0.35,0.5752,
TCGA-32-2615-01A,0.0,0.0,0.001,0.001,0.006,0.004,0.707,0.001,0.043,0.037,0.025,0.172,0.0,0.0,0.003,0.0,GBM,0.7857,0.84,,0.85,0.836,
TCGA-76-4929-01A,0.0,0.0,0.0,0.0,0.002,0.0,0.786,0.0,0.036,0.021,0.022,0.132,0.0,0.0,0.0,0.0,GBM,0.8822,0.8,0.8239,0.8,0.8391,
TCGA-06-0178-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.808,0.0,0.025,0.0,0.009,0.151,0.0,0.005,0.002,0.001,GBM,0.823,,,1.0,0.8589,
TCGA-41-5651-01A,0.0,0.002,0.0,0.001,0.001,0.002,0.891,0.006,0.045,0.001,0.015,0.033,0.001,0.0,0.001,0.0,GBM,0.9559,0.96,0.9819,0.8,0.9753,
TCGA-14-2554-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.748,0.0,0.055,0.002,0.015,0.178,0.0,0.0,0.001,0.0,GBM,0.7828,0.81,,0.825,0.7913,
TCGA-06-2559-01A,0.0,0.0,0.0,0.0,0.001,0.0,0.794,0.001,0.058,0.002,0.024,0.118,0.002,0.0,0.001,0.0,GBM,0.8675,0.9,,0.85,0.8305,
TCGA-14-0787-01A,0.0,0.0,0.0,0.0,0.003,0.0,0.771,0.001,0.038,0.002,0.009,0.173,0.001,0.0,0.002,0.0,GBM,0.853,0.85,,0.95,0.9253,
TCGA-12-0618-01A,0.0,0.0,0.0,0.0,0.001,0.0,0.874,0.011,0.031,0.0,0.02,0.06,0.0,0.0,0.001,0.0,GBM,0.9509,0.96,,1.0,0.9439,
TCGA-14-1034-01A,0.0,0.0,0.004,0.0,0.0,0.002,0.705,0.0,0.063,0.021,0.0,0.202,0.0,0.0,0.002,0.0,GBM,0.7664,0.54,,1.0,0.6932,
TCGA-06-0743-01A,0.0,0.0,0.0,0.0,0.004,0.0,0.799,0.006,0.048,0.001,0.015,0.124,0.0,0.0,0.001,0.0,GBM,0.8568,0.85,,1.0,0.8161,
TCGA-16-1045-01B,0.0,0.0,0.004,0.0,0.001,0.001,0.49,0.0,0.074,0.048,0.017,0.362,0.0,0.0,0.002,0.0,GBM,0.6134,0.65,,0.95,0.7792,
TCGA-76-4927-01A,0.0,0.0,0.0,0.0,0.0,0.002,0.636,0.0,0.095,0.038,0.044,0.181,0.0,0.0,0.002,0.0,GBM,0.7695,,0.8049,0.7,0.8055,
TCGA-32-2638-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.618,0.0,0.074,0.017,0.037,0.252,0.0,0.0,0.0,0.0,GBM,0.7381,0.83,,0.825,0.836,
TCGA-14-1825-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.865,0.001,0.047,0.001,0.017,0.069,0.0,0.0,0.001,0.0,GBM,0.9402,0.88,,0.95,0.9293,
TCGA-32-2632-01A,0.0,0.0,0.007,0.0,0.018,0.0,0.568,0.0,0.071,0.075,0.004,0.254,0.0,0.0,0.002,0.0,GBM,0.7208,0.5,,0.85,0.637,
TCGA-14-1823-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.697,0.0,0.029,0.013,0.003,0.256,0.0,0.0,0.001,0.0,GBM,0.7168,0.64,,0.95,0.7697,
TCGA-12-3650-01A,0.0,0.0,0.0,0.001,0.002,0.001,0.817,0.0,0.049,0.001,0.014,0.112,0.001,0.0,0.001,0.0,GBM,0.8979,0.88,,0.85,0.8719,
TCGA-06-0238-01A,0.0,0.0,0.0,0.0,0.002,0.001,0.728,0.0,0.033,0.0,0.018,0.208,0.004,0.002,0.002,0.0,GBM,0.7992,0.78,,1.0,0.8806,
TCGA-06-0184-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.058,0.002,0.009,0.335,0.0,0.002,0.003,0.0,GBM,0.6865,,,0.95,0.7439,
TCGA-76-4925-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.885,0.0,0.04,0.001,0.011,0.062,0.0,0.0,0.001,0.0,GBM,0.9449,0.94,0.9783,0.8,0.985,
