,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-BC-A10Z-01A,0.0,0.0,0.009,0.0,0.0,0.0,0.895,0.0,0.081,0.0,0.012,0.002,0.0,0.0,0.001,0.0,LIHC,0.9772,,0.7604,0.875,0.9253,
TCGA-DD-AAEK-01A,0.012,0.005,0.061,0.005,0.008,0.0,0.104,0.021,0.262,0.02,0.09,0.408,0.0,0.0,0.002,0.0,LIHC,0.7594,,,0.75,0.7375,
TCGA-G3-A3CK-01A,0.0,0.0,0.024,0.0,0.0,0.0,0.557,0.0,0.161,0.0,0.102,0.155,0.0,0.0,0.0,0.0,LIHC,0.8725,,0.6685,0.95,0.8374,
TCGA-DD-A1EJ-01A,0.0,0.0,0.004,0.0,0.0,0.0,0.824,0.0,0.038,0.004,0.022,0.108,0.0,0.0,0.0,0.0,LIHC,0.9189,,0.7028,0.85,0.8806,
TCGA-DD-AACU-01A,0.0,0.0,0.007,0.0,0.0,0.0,0.855,0.0,0.074,0.02,0.014,0.03,0.0,0.0,0.0,0.0,LIHC,0.892,,,0.9,0.8052,
TCGA-ZS-A9CE-01A,0.0,0.0,0.012,0.0,0.0,0.0,0.853,0.0,0.096,0.004,0.007,0.026,0.0,0.0,0.001,0.0,LIHC,0.957,,0.7221,0.8,0.7466,
TCGA-2Y-A9H2-01A,0.0,0.0,0.003,0.001,0.0,0.0,0.905,0.031,0.037,0.001,0.003,0.017,0.0,0.001,0.001,0.0,LIHC,0.8984,,0.8126,0.7,0.8726,
TCGA-CC-5261-01A,0.005,0.016,0.012,0.004,0.0,0.003,0.594,0.015,0.105,0.165,0.03,0.047,0.004,0.0,0.002,0.0,LIHC,0.7769,,0.7414,0.85,0.7076,
TCGA-DD-AADP-01A,0.0,0.0,0.021,0.0,0.0,0.0,0.643,0.0,0.251,0.021,0.048,0.016,0.0,0.0,0.0,0.0,LIHC,0.8867,,0.7593,0.7,0.8566,
TCGA-2Y-A9H4-01A,0.0,0.0,0.005,0.0,0.0,0.0,0.822,0.0,0.099,0.001,0.037,0.032,0.0,0.003,0.001,0.0,LIHC,0.8881,,0.7259,0.85,0.8585,
TCGA-DD-A1EA-01A,0.053,0.0,0.05,0.011,0.0,0.0,0.074,0.0,0.276,0.0,0.001,0.53,0.001,0.0,0.004,0.0,LIHC,0.8792,,0.706,0.9,0.6893,
TCGA-CC-A3MC-01A,0.0,0.0,0.003,0.004,0.0,0.0,0.813,0.0,0.084,0.019,0.055,0.021,0.0,0.0,0.0,0.0,LIHC,0.8825,,0.7717,0.75,0.8509,
TCGA-FV-A2QR-01A,0.0,0.0,0.002,0.004,0.0,0.0,0.701,0.0,0.137,0.018,0.064,0.073,0.0,0.0,0.0,0.0,LIHC,0.8678,,0.6626,0.8,0.6383,
TCGA-EP-A26S-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.783,0.0,0.118,0.003,0.019,0.071,0.0,0.003,0.001,0.0,LIHC,0.9397,,0.7673,0.95,0.8806,
TCGA-K7-AAU7-01A,0.0,0.0,0.006,0.001,0.0,0.0,0.868,0.001,0.027,0.047,0.001,0.043,0.002,0.0,0.003,0.0,LIHC,0.8525,,0.6629,0.65,0.6386,
TCGA-G3-A25T-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.899,0.0,0.05,0.005,0.003,0.032,0.003,0.006,0.001,0.0,LIHC,0.8852,,0.9203,0.95,0.8546,
TCGA-DD-AADB-01A,0.01,0.006,0.024,0.011,0.0,0.0,0.779,0.0,0.079,0.001,0.024,0.064,0.0,0.0,0.0,0.0,LIHC,0.8511,,,0.95,0.8668,
TCGA-UB-A7MA-01A,0.0,0.0,0.001,0.004,0.0,0.0,0.891,0.0,0.037,0.004,0.026,0.036,0.0,0.0,0.0,0.0,LIHC,0.9214,,0.8845,0.95,0.9038,
TCGA-DD-AAD0-01A,0.0,0.0,0.008,0.002,0.0,0.0,0.842,0.0,0.053,0.0,0.002,0.091,0.0,0.0,0.0,0.0,LIHC,0.9581,,,0.95,0.9394,
TCGA-BC-4072-01B,0.007,0.0,0.019,0.012,0.002,0.0,0.699,0.002,0.073,0.031,0.024,0.13,0.0,0.0,0.0,0.0,LIHC,0.7931,,0.5901,0.85,0.5531,
TCGA-DD-AACD-01A,0.0,0.0,0.007,0.0,0.0,0.0,0.68,0.0,0.143,0.0,0.059,0.108,0.0,0.001,0.003,0.0,LIHC,0.8278,,,0.9,0.851,
TCGA-DD-A3A5-01A,0.0,0.0,0.011,0.005,0.0,0.0,0.732,0.0,0.149,0.007,0.09,0.006,0.0,0.0,0.0,0.0,LIHC,0.9034,,0.8117,0.95,0.8135,
TCGA-ZP-A9D1-01A,0.0,0.0,0.01,0.0,0.0,0.001,0.747,0.0,0.104,0.037,0.066,0.035,0.0,0.0,0.0,0.0,LIHC,0.8383,,0.7065,0.8,0.7909,
TCGA-ZP-A9D0-01A,0.0,0.0,0.033,0.0,0.0,0.0,0.039,0.0,0.585,0.096,0.059,0.171,0.001,0.0,0.014,0.0,LIHC,0.9234,,0.8768,0.9,0.9065,
TCGA-CC-A7IK-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.911,0.0,0.045,0.0,0.026,0.016,0.0,0.0,0.0,0.0,LIHC,0.9673,,0.6325,0.8,0.7913,
TCGA-WQ-AB4B-01A,0.0,0.0,0.014,0.0,0.0,0.0,0.557,0.0,0.207,0.011,0.112,0.097,0.0,0.0,0.002,0.0,LIHC,0.8504,,,0.75,0.8663,
TCGA-FV-A4ZQ-01A,0.063,0.0,0.023,0.017,0.034,0.0,0.681,0.0,0.026,0.002,0.0,0.152,0.0,0.0,0.0,0.0,LIHC,0.8083,,0.6708,0.75,0.7502,
