,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-HQ-A5NE-01A,0.002,0.0,0.008,0.0,0.0,0.0,0.785,0.01,0.059,0.077,0.017,0.024,0.01,0.0,0.009,0.0,BLCA,0.8739,,0.6564,0.65,0.6573,
TCGA-FD-A5BT-01A,0.008,0.0,0.013,0.023,0.002,0.0,0.272,0.014,0.038,0.427,0.014,0.184,0.0,0.0,0.003,0.001,BLCA,0.4328,,0.4884,0.7,0.4335,
TCGA-DK-A3IQ-01A,0.002,0.0,0.003,0.0,0.0,0.0,0.189,0.004,0.061,0.631,0.054,0.048,0.009,0.0,0.0,0.0,BLCA,0.6652,0.35,0.7643,0.75,0.6289,
TCGA-ZF-AA4X-01A,0.0,0.0,0.001,0.006,0.0,0.0,0.939,0.03,0.008,0.0,0.004,0.01,0.0,0.0,0.0,0.0,BLCA,0.9925,,0.7722,0.9,0.7913,
TCGA-GD-A3OQ-01A,0.0,0.0,0.006,0.002,0.0,0.0,0.933,0.002,0.02,0.025,0.001,0.007,0.002,0.0,0.001,0.0,BLCA,0.94,0.78,0.7212,0.95,0.8916,
TCGA-ZF-AA51-01A,0.027,0.0,0.028,0.007,0.0,0.0,0.663,0.015,0.039,0.083,0.007,0.101,0.001,0.0,0.01,0.017,BLCA,0.7539,,0.6609,0.7,0.6573,
TCGA-FD-A3SS-01A,0.0,0.0,0.0,0.005,0.0,0.0,0.925,0.0,0.015,0.01,0.022,0.02,0.0,0.0,0.002,0.0,BLCA,0.9488,,0.8002,0.7,0.8806,
TCGA-DK-AA71-01A,0.0,0.0,0.005,0.008,0.0,0.0,0.92,0.0,0.022,0.017,0.005,0.021,0.0,0.0,0.001,0.0,BLCA,0.9576,,0.8337,0.75,0.9253,
TCGA-4Z-AA83-01A,0.0,0.0,0.002,0.007,0.0,0.0,0.848,0.015,0.045,0.005,0.043,0.033,0.001,0.0,0.001,0.001,BLCA,0.8915,,0.639,0.95,0.7913,
TCGA-ZF-A9R4-01A,0.001,0.0,0.0,0.014,0.0,0.0,0.933,0.0,0.019,0.0,0.004,0.029,0.0,0.0,0.0,0.0,BLCA,0.9546,,0.7307,0.8,0.7183,
