,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-EL-A3D0-01A,0.0,0.001,0.002,0.0,0.0,0.0,0.695,0.0,0.121,0.126,0.023,0.03,0.0,0.0,0.001,0.0,THCA,0.8697,,0.9955,0.65,0.8336,
TCGA-J8-A4HY-01A,0.004,0.0,0.005,0.007,0.0,0.0,0.738,0.007,0.121,0.003,0.033,0.079,0.0,0.001,0.002,0.0,THCA,0.902,,0.9423,0.95,0.8775,
TCGA-L6-A4ET-01A,0.001,0.0,0.001,0.008,0.0,0.0,0.824,0.003,0.119,0.001,0.019,0.02,0.0,0.0,0.002,0.0,THCA,0.9602,,1.0,0.99,0.97,
TCGA-DE-A4MC-01A,0.0,0.0,0.031,0.015,0.0,0.0,0.718,0.061,0.082,0.048,0.007,0.035,0.0,0.0,0.002,0.0,THCA,0.8296,,0.8248,1.0,0.7913,
TCGA-ET-A25K-01A,0.001,0.0,0.003,0.002,0.0,0.0,0.588,0.002,0.249,0.037,0.062,0.051,0.0,0.0,0.003,0.0,THCA,0.888,,0.9205,0.85,0.8584,
TCGA-DJ-A3UU-01A,0.021,0.003,0.01,0.009,0.001,0.0,0.576,0.038,0.116,0.131,0.014,0.077,0.001,0.0,0.002,0.0,THCA,0.8013,,0.9295,0.8,0.7913,
TCGA-EM-A1YA-01A,0.029,0.0,0.002,0.001,0.0,0.0,0.685,0.0,0.162,0.0,0.087,0.029,0.0,0.001,0.002,0.0,THCA,0.9461,,0.8892,0.9,0.9046,
TCGA-CE-A483-01A,0.0,0.001,0.002,0.002,0.0,0.0,0.797,0.0,0.134,0.003,0.016,0.042,0.0,0.0,0.002,0.0,THCA,0.9403,,1.0,1.0,0.9294,
TCGA-DJ-A3VD-01A,0.04,0.057,0.031,0.016,0.001,0.0,0.387,0.08,0.094,0.179,0.008,0.102,0.001,0.0,0.003,0.0,THCA,0.5967,,0.6114,0.75,0.4628,
TCGA-BJ-A28S-01A,0.016,0.001,0.0,0.001,0.0,0.0,0.702,0.0,0.188,0.001,0.072,0.015,0.0,0.0,0.002,0.0,THCA,0.9475,,1.0,0.9,0.9392,
TCGA-FY-A3R9-01A,0.026,0.0,0.001,0.0,0.0,0.0,0.763,0.001,0.143,0.0,0.062,0.002,0.0,0.0,0.001,0.0,THCA,0.9384,,0.9456,0.88,0.9269,
TCGA-FY-A3R8-01A,0.0,0.0,0.01,0.0,0.0,0.0,0.687,0.021,0.091,0.07,0.002,0.114,0.0,0.0,0.004,0.0,THCA,0.8334,,0.8731,0.9,0.8857,
TCGA-DJ-A3V2-01A,0.045,0.019,0.015,0.031,0.009,0.0,0.505,0.013,0.118,0.045,0.012,0.184,0.001,0.0,0.002,0.0,THCA,0.6876,,0.7666,0.85,0.7605,
TCGA-ET-A25L-01A,0.0,0.0,0.014,0.0,0.0,0.0,0.583,0.02,0.103,0.184,0.004,0.089,0.0,0.0,0.002,0.0,THCA,0.8058,,0.8754,0.8,0.7468,
TCGA-EL-A3D1-01A,0.003,0.0,0.004,0.006,0.0,0.0,0.698,0.008,0.113,0.045,0.028,0.09,0.001,0.0,0.002,0.0,THCA,0.8547,,0.9675,0.9,0.8132,
TCGA-FY-A3I4-01A,0.006,0.0,0.008,0.006,0.0,0.0,0.514,0.014,0.167,0.15,0.03,0.099,0.0,0.001,0.003,0.0,THCA,0.7806,,0.8779,0.9,0.8913,
TCGA-BJ-A28T-01A,0.112,0.047,0.032,0.029,0.034,0.001,0.287,0.073,0.132,0.09,0.023,0.137,0.001,0.0,0.002,0.001,THCA,0.5563,,0.6543,0.6,0.408,
TCGA-MK-A4N6-01A,0.0,0.0,0.01,0.006,0.0,0.0,0.674,0.001,0.071,0.1,0.001,0.135,0.0,0.0,0.003,0.0,THCA,0.8027,,0.8057,0.8,0.8064,
TCGA-DJ-A3V8-01A,0.007,0.0,0.003,0.001,0.0,0.0,0.784,0.006,0.075,0.04,0.01,0.072,0.0,0.0,0.003,0.0,THCA,0.9085,,0.8919,1.0,0.8862,
TCGA-DJ-A1QI-01A,0.005,0.0,0.007,0.003,0.0,0.0,0.668,0.014,0.114,0.109,0.007,0.07,0.0,0.0,0.001,0.0,THCA,0.875,,0.8699,0.7,0.8407,
TCGA-EL-A3H8-01A,0.002,0.0,0.006,0.002,0.0,0.0,0.729,0.005,0.138,0.069,0.004,0.041,0.0,0.0,0.003,0.0,THCA,0.913,,0.9509,0.8,0.9253,
TCGA-EM-A3O3-01A,0.05,0.015,0.021,0.008,0.001,0.0,0.646,0.04,0.013,0.079,0.0,0.122,0.002,0.0,0.004,0.0,THCA,0.7506,,0.667,1.0,0.6434,
