,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-C5-A7UI-01A,0.058,0.001,0.048,0.033,0.0,0.0,0.732,0.015,0.044,0.008,0.018,0.029,0.0,0.001,0.011,0.0,CESC,0.7915,,0.5655,0.95,0.7274,
TCGA-C5-A902-01A,0.0,0.0,0.003,0.156,0.0,0.0,0.735,0.009,0.045,0.002,0.011,0.024,0.001,0.012,0.003,0.0,CESC,0.8685,,0.8329,0.8,0.8319,
TCGA-DS-A1OB-01A,0.001,0.0,0.01,0.002,0.0,0.0,0.885,0.0,0.026,0.001,0.003,0.072,0.0,0.0,0.0,0.0,CESC,0.8806,,0.6592,0.8,0.7913,
TCGA-Q1-A6DW-01A,0.0,0.0,0.001,0.034,0.0,0.0,0.849,0.022,0.063,0.005,0.02,0.004,0.001,0.0,0.0,0.0,CESC,0.9053,,0.7831,0.6,0.7799,
TCGA-EK-A2R7-01A,0.03,0.0,0.025,0.034,0.0,0.0,0.819,0.016,0.027,0.02,0.005,0.022,0.001,0.0,0.001,0.0,CESC,0.8788,,0.711,0.88,0.846,
TCGA-C5-A7X8-01A,0.057,0.0,0.016,0.01,0.001,0.0,0.651,0.015,0.05,0.172,0.006,0.019,0.002,0.0,0.001,0.0,CESC,0.8011,,0.9431,0.8,0.836,
TCGA-Q1-A5R3-01A,0.003,0.0,0.016,0.012,0.001,0.0,0.916,0.009,0.016,0.005,0.001,0.013,0.002,0.001,0.007,0.0,CESC,0.8815,,0.6336,0.8,0.6126,
TCGA-C5-A7X5-01A,0.0,0.0,0.008,0.0,0.0,0.0,0.947,0.0,0.028,0.004,0.0,0.012,0.0,0.0,0.0,0.0,CESC,0.9609,,0.9416,0.8,0.9574,
TCGA-ZJ-A8QR-01A,0.004,0.0,0.0,0.002,0.0,0.0,0.906,0.007,0.04,0.005,0.003,0.015,0.001,0.0,0.014,0.0,CESC,0.9299,,0.6225,0.8,0.7019,
TCGA-HM-A3JK-01A,0.011,0.0,0.023,0.001,0.0,0.0,0.587,0.04,0.075,0.203,0.019,0.039,0.002,0.0,0.0,0.0,CESC,0.7204,,0.7654,0.65,0.7591,
