,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-BQ-7044-01A,0.004,0.0,0.001,0.001,0.0,0.0,0.89,0.001,0.01,0.0,0.002,0.091,0.0,0.0,0.001,0.0,KIRP,0.9441,,0.9691,0.9,0.9665,
TCGA-SX-A7SR-01A,0.001,0.0,0.002,0.001,0.004,0.0,0.724,0.017,0.015,0.0,0.002,0.22,0.01,0.0,0.004,0.0,KIRP,0.8693,,0.7453,0.9,0.833,
TCGA-MH-A854-01A,0.0,0.0,0.001,0.004,0.0,0.0,0.855,0.017,0.034,0.0,0.017,0.07,0.0,0.0,0.001,0.0,KIRP,0.921,,0.953,0.75,0.9032,
TCGA-B3-8121-01A,0.023,0.0,0.022,0.005,0.009,0.0,0.443,0.011,0.071,0.055,0.003,0.331,0.005,0.013,0.009,0.0,KIRP,0.6436,,0.5698,0.6,0.5292,
TCGA-2Z-A9JJ-01A,0.0,0.0,0.02,0.0,0.0,0.0,0.724,0.0,0.07,0.076,0.0,0.106,0.003,0.0,0.001,0.0,KIRP,0.8322,,,0.75,0.787,
TCGA-B1-7332-01A,0.0,0.0,0.002,0.0,0.0,0.0,0.731,0.0,0.033,0.002,0.001,0.222,0.008,0.0,0.0,0.0,KIRP,0.8735,,0.8565,0.85,0.8387,
TCGA-WN-A9G9-01A,0.005,0.0,0.029,0.163,0.221,0.0,0.005,0.044,0.027,0.001,0.01,0.495,0.0,0.0,0.001,0.001,KIRP,0.4511,,0.4089,0.75,0.3401,
TCGA-A4-8310-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.815,0.0,0.008,0.003,0.0,0.172,0.0,0.0,0.0,0.0,KIRP,0.9197,,0.9476,0.9,0.9373,
TCGA-2Z-A9JT-01A,0.001,0.0,0.0,0.001,0.001,0.0,0.649,0.015,0.01,0.0,0.003,0.317,0.0,0.0,0.002,0.0,KIRP,0.7443,,,0.8,0.7943,
TCGA-5P-A9K2-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.862,0.008,0.002,0.0,0.001,0.126,0.0,0.0,0.001,0.0,KIRP,0.9387,,,0.75,0.8593,
TCGA-4A-A93W-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.848,0.025,0.026,0.016,0.001,0.076,0.005,0.001,0.001,0.0,KIRP,0.9141,,0.9765,0.95,0.8939,
TCGA-DW-7837-01A,0.0,0.0,0.003,0.001,0.005,0.0,0.692,0.029,0.044,0.003,0.008,0.207,0.006,0.0,0.0,0.0,KIRP,0.8437,,0.8078,0.8,0.8089,
TCGA-A4-A5DU-01A,0.0,0.0,0.0,0.006,0.0,0.0,0.842,0.003,0.008,0.0,0.001,0.136,0.0,0.001,0.001,0.0,KIRP,0.9331,,0.9699,0.8,0.9595,
TCGA-2Z-A9JI-01A,0.038,0.001,0.016,0.013,0.002,0.0,0.623,0.027,0.05,0.002,0.01,0.21,0.001,0.002,0.007,0.0,KIRP,0.7927,,,0.7,0.7602,
TCGA-BQ-7050-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.744,0.007,0.03,0.0,0.017,0.199,0.0,0.0,0.001,0.0,KIRP,0.9328,,0.8446,0.85,0.8521,
TCGA-BQ-5894-01A,0.008,0.0,0.025,0.012,0.0,0.0,0.589,0.009,0.101,0.058,0.056,0.136,0.006,0.0,0.0,0.0,KIRP,0.7427,,0.6703,0.75,0.6473,
TCGA-BQ-5879-01A,0.013,0.0,0.005,0.0,0.0,0.0,0.723,0.001,0.094,0.022,0.037,0.09,0.013,0.0,0.002,0.0,KIRP,0.8551,,0.8664,0.8,0.8137,
TCGA-AL-3472-01A,0.001,0.0,0.0,0.0,0.0,0.0,0.922,0.01,0.007,0.005,0.004,0.04,0.003,0.0,0.001,0.008,KIRP,0.93,,,0.8,0.831,
TCGA-MH-A560-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.818,0.0,0.014,0.0,0.01,0.158,0.0,0.0,0.0,0.0,KIRP,0.927,,0.8866,0.9,0.9015,
TCGA-BQ-5891-01A,0.0,0.0,0.003,0.0,0.0,0.0,0.884,0.0,0.025,0.003,0.001,0.083,0.002,0.0,0.0,0.0,KIRP,0.9468,,0.9894,0.8,0.9382,
TCGA-B9-A5W7-01A,0.0,0.0,0.002,0.001,0.001,0.0,0.776,0.014,0.024,0.001,0.001,0.172,0.008,0.0,0.001,0.0,KIRP,0.8947,,0.8636,0.75,0.8675,
TCGA-UZ-A9PR-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.836,0.0,0.014,0.005,0.001,0.141,0.003,0.0,0.0,0.0,KIRP,0.9242,,,0.95,0.9165,
TCGA-B9-A69E-01A,0.001,0.0,0.011,0.001,0.014,0.0,0.441,0.006,0.075,0.011,0.061,0.375,0.002,0.001,0.001,0.0,KIRP,0.6807,,0.6494,0.8,0.6227,
TCGA-B3-4104-01A,0.002,0.0,0.001,0.0,0.0,0.0,0.857,0.001,0.04,0.011,0.072,0.011,0.004,0.0,0.0,0.0,KIRP,0.9188,,,0.85,0.9128,
TCGA-SX-A71R-01A,0.001,0.0,0.0,0.0,0.0,0.0,0.86,0.019,0.02,0.0,0.005,0.089,0.002,0.003,0.001,0.0,KIRP,0.9555,,1.0,0.8,0.95,
TCGA-MH-A55Z-01A,0.0,0.0,0.0,0.004,0.0,0.0,0.804,0.014,0.029,0.0,0.008,0.137,0.0,0.002,0.001,0.0,KIRP,0.9036,,0.9312,0.9,0.9168,
