,B Cells_marker_mean,CAFs_marker_mean,CD4 T_marker_mean,CD8 T_marker_mean,DC_marker_mean,Endothelial Cells_marker_mean,Macrophages_marker_mean,Mast Cells_marker_mean,Monocytes_marker_mean,Myofibroblasts_marker_mean,NK_marker_mean,Neutrophils_marker_mean,Cancer Cells_marker_mean,Unnamed: 0,cancer_type,reference_dataset,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,B Cells,CD8 T,Fibroblasts
TCGA-OR-A5LO-01A,9.165,11.501,11.964,1.0,1.0,88.237,18.159,1.0,1.0,229.836,5.311,1.0,7.775,500,ACC,simu_bulk_2ds_ref,0.0,0.0,0.0,0.0,0.0,0.0,0.842,0.0,0.051,0.0,0.097,0.009,0.001,0.0,0.0,0.0,0.0,0.0,0.097
TCGA-P6-A5OG-01A,10.871,88.243,23.428,15.674,8.669,447.283,996.938,2.441,7.794,210.889,137.812,70.11,30.528,501,ACC,simu_bulk_2ds_ref,0.001,0.0,0.011,0.022,0.0,0.0,0.326,0.0,0.158,0.044,0.246,0.159,0.0,0.001,0.019,0.013,0.001,0.022,0.29
TCGA-OR-A5J6-01A,1.033,2.841,20.822,1.0,11.958,95.065,546.776,1.0,2.554,1043.316,11.308,1.448,70.153,502,ACC,simu_bulk_2ds_ref,0.0,0.0,0.0,0.0,0.0,0.0,0.327,0.0,0.199,0.0,0.033,0.414,0.026,0.0,0.0,0.0,0.0,0.0,0.033
TCGA-OR-A5LT-01A,1.937,5.172,21.914,1.0,1.0,24.829,66.615,1.0,1.0,391.273,3.228,1.0,20.964,503,ACC,simu_bulk_2ds_ref,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.017,0.0,0.005,0.056,0.002,0.0,0.0,0.0,0.0,0.0,0.005
TCGA-OR-A5JY-01A,12.58,2.246,8.789,1.0,1.0,150.721,257.685,1.0,1.0,380.299,5.246,1.553,20.963,504,ACC,simu_bulk_2ds_ref,0.0,0.0,0.002,0.0,0.0,0.0,0.814,0.0,0.058,0.001,0.029,0.087,0.008,0.0,0.0,0.0,0.0,0.0,0.030000000000000002
TCGA-OR-A5JV-01A,1.204,29.725,102.697,2.046,9.038,93.154,856.764,1.0,1.116,707.322,8.401,8.595,14.615,505,ACC,simu_bulk_2ds_ref,0.0,0.0,0.007,0.0,0.006,0.0,0.483,0.002,0.061,0.0,0.044,0.388,0.006,0.0,0.003,0.0,0.0,0.006,0.044
TCGA-OR-A5JT-01A,1.775,5.185,29.333,1.0,1.0,93.65,57.507,1.566,1.0,956.335,18.489,1.0,5.582,506,ACC,simu_bulk_2ds_ref,0.0,0.0,0.0,0.0,0.0,0.0,0.579,0.0,0.149,0.0,0.158,0.111,0.002,0.0,0.0,0.0,0.0,0.0,0.158
TCGA-OR-A5KX-01A,4.321,23.168,8.26,1.0,1.0,125.948,94.537,5.502,3.49,1083.47,6.471,1.0,91.085,507,ACC,simu_bulk_2ds_ref,0.0,0.0,0.0,0.0,0.0,0.0,0.767,0.0,0.091,0.0,0.063,0.076,0.003,0.0,0.0,0.0,0.0,0.0,0.063
TCGA-OR-A5K3-01A,3.568,3.13,15.746,1.0,1.0,25.463,105.658,1.0,1.0,394.41,2.348,1.0,5.354,508,ACC,simu_bulk_2ds_ref,0.0,0.0,0.0,0.0,0.0,0.0,0.749,0.0,0.032,0.0,0.024,0.194,0.001,0.0,0.0,0.0,0.0,0.0,0.024
TCGA-OR-A5JZ-01A,3.046,10.531,23.804,1.368,2.933,86.441,120.64,1.512,1.0,1388.522,11.14,1.0,133.36,509,ACC,simu_bulk_2ds_ref,0.0,0.0,0.001,0.0,0.0,0.0,0.546,0.0,0.192,0.0,0.03,0.174,0.057,0.0,0.0,0.0,0.0,0.0,0.03
TCGA-OR-A5LC-01A,18.798,29.547,3.958,1.0,1.0,88.941,211.267,1.0,1.0,486.913,4.792,1.0,42.178,510,ACC,simu_bulk_2ds_ref,0.0,0.0,0.0,0.0,0.0,0.0,0.662,0.0,0.109,0.019,0.156,0.052,0.003,0.0,0.0,0.0,0.0,0.0,0.175
TCGA-OR-A5LH-01A,3.735,4.392,5.422,2.166,1.0,70.808,211.24,1.0,1.0,509.353,24.485,1.0,92.007,511,ACC,simu_bulk_2ds_ref,0.0,0.0,0.003,0.0,0.009,0.0,0.739,0.0,0.077,0.0,0.047,0.122,0.002,0.0,0.001,0.0,0.0,0.009,0.047
TCGA-OR-A5LM-01A,1.973,5.187,8.477,1.0,1.0,56.935,141.626,1.0,1.0,421.398,5.662,1.0,5.245,512,ACC,simu_bulk_2ds_ref,0.0,0.0,0.0,0.0,0.0,0.0,0.817,0.0,0.067,0.0,0.043,0.061,0.011,0.0,0.0,0.0,0.0,0.0,0.043
TCGA-OR-A5J5-01A,3.584,13.364,7.411,1.0,1.0,47.957,43.33,1.0,1.0,292.728,5.175,1.0,10.583,513,ACC,simu_bulk_2ds_ref,0.0,0.0,0.0,0.0,0.002,0.0,0.815,0.0,0.033,0.0,0.131,0.017,0.0,0.0,0.0,0.0,0.0,0.002,0.131
TCGA-P6-A5OF-01A,7.66,18.402,14.584,1.0,1.0,97.512,133.972,1.0,1.0,219.021,3.191,2.855,10.561,514,ACC,simu_bulk_2ds_ref,0.0,0.0,0.0,0.0,0.0,0.0,0.807,0.0,0.08,0.01,0.04,0.061,0.001,0.0,0.0,0.0,0.0,0.0,0.05
TCGA-OR-A5LD-01A,37.798,4.975,1.681,1.0,1.0,37.175,9.039,1.0,1.0,599.218,2.343,1.0,3.603,515,ACC,simu_bulk_2ds_ref,0.0,0.0,0.0,0.0,0.0,0.0,0.039,0.0,0.166,0.0,0.764,0.027,0.002,0.001,0.0,0.0,0.0,0.0,0.764
TCGA-OR-A5L3-01A,5.795,1.297,1.0,1.0,1.0,18.444,30.558,1.0,1.0,467.588,1.0,1.0,1.578,516,ACC,simu_bulk_2ds_ref,0.001,0.0,0.0,0.0,0.0,0.0,0.266,0.0,0.085,0.0,0.288,0.353,0.004,0.001,0.002,0.0,0.001,0.0,0.288
TCGA-OR-A5LK-01A,3.98,10.59,17.91,4.721,5.857,55.401,223.313,61.78,1.0,213.789,18.073,1.783,122.828,517,ACC,simu_bulk_2ds_ref,0.015,0.0,0.0,0.0,0.01,0.0,0.448,0.053,0.052,0.0,0.022,0.379,0.019,0.0,0.001,0.0,0.015,0.01,0.022
TCGA-OR-A5LG-01A,3.591,22.413,12.125,2.073,1.61,59.92,484.233,1.0,1.0,1113.751,9.085,1.25,60.156,518,ACC,simu_bulk_2ds_ref,0.0,0.0,0.0,0.0,0.0,0.0,0.683,0.0,0.06,0.001,0.038,0.216,0.002,0.0,0.0,0.0,0.0,0.0,0.039
TCGA-OR-A5KO-01A,8.435,12.258,13.241,1.0,1.0,77.441,20.543,1.0,1.0,544.766,1.963,1.0,18.349,519,ACC,simu_bulk_2ds_ref,0.0,0.0,0.0,0.0,0.0,0.0,0.816,0.0,0.106,0.0,0.04,0.036,0.001,0.0,0.0,0.0,0.0,0.0,0.04
TCGA-OR-A5JJ-01A,18.415,19.688,4.29,4.015,1.0,70.516,77.885,1.054,1.0,37.729,16.218,1.0,4.121,520,ACC,simu_bulk_2ds_ref,0.001,0.0,0.005,0.004,0.002,0.0,0.875,0.0,0.036,0.003,0.048,0.023,0.002,0.0,0.0,0.0,0.001,0.006,0.051000000000000004
TCGA-OR-A5JL-01A,3.512,1.733,20.34,1.0,1.66,111.817,242.638,1.0,4.303,15.675,12.458,1.0,92.43,521,ACC,simu_bulk_2ds_ref,0.006,0.0,0.001,0.0,0.0,0.0,0.608,0.0,0.147,0.0,0.052,0.171,0.014,0.0,0.0,0.0,0.006,0.0,0.052
TCGA-OR-A5KV-01A,5.472,77.046,2.424,6.717,1.0,82.2,41.162,1.473,1.0,946.123,2.824,1.0,12.227,522,ACC,simu_bulk_2ds_ref,0.0,0.0,0.001,0.0,0.004,0.0,0.913,0.001,0.039,0.0,0.016,0.02,0.004,0.0,0.002,0.0,0.0,0.004,0.016
TCGA-OR-A5JE-01A,95.772,7.091,6.055,1.0,1.129,121.512,279.622,1.299,1.0,2185.987,2.6,1.07,13.63,523,ACC,simu_bulk_2ds_ref,0.0,0.0,0.001,0.0,0.0,0.0,0.747,0.0,0.075,0.005,0.023,0.14,0.008,0.0,0.0,0.0,0.0,0.0,0.028
TCGA-PK-A5HB-01A,2.797,13.464,86.828,1.0,1.0,383.48,65.109,3.188,1.0,2080.879,1.856,1.0,2.98,524,ACC,simu_bulk_2ds_ref,0.0,0.0,0.0,0.0,0.0,0.0,0.702,0.0,0.104,0.0,0.168,0.024,0.002,0.0,0.0,0.0,0.0,0.0,0.168
TCGA-OR-A5JM-01A,29.256,12.518,7.832,1.0,1.0,61.609,20.351,1.0,1.0,455.869,1.0,1.0,35.844,525,ACC,simu_bulk_2ds_ref,0.0,0.0,0.001,0.0,0.001,0.0,0.896,0.0,0.065,0.003,0.025,0.007,0.002,0.0,0.0,0.0,0.0,0.001,0.028
TCGA-OR-A5JD-01A,1.134,12.027,12.553,2.856,3.83,47.083,129.287,3.014,1.0,374.534,13.601,1.164,1.916,526,ACC,simu_bulk_2ds_ref,0.0,0.0,0.0,0.0,0.013,0.0,0.448,0.0,0.074,0.0,0.14,0.322,0.001,0.002,0.0,0.0,0.0,0.013,0.14
TCGA-OR-A5LN-01A,1.035,5.901,7.892,3.176,1.0,41.003,124.965,1.648,1.0,659.831,14.267,1.19,38.906,527,ACC,simu_bulk_2ds_ref,0.0,0.0,0.0,0.0,0.003,0.0,0.076,0.0,0.173,0.0,0.021,0.721,0.002,0.004,0.001,0.0,0.0,0.003,0.021
TCGA-OR-A5K6-01A,4.999,4.376,8.437,1.0,1.0,75.687,143.908,1.0,1.0,382.988,1.763,1.0,30.64,528,ACC,simu_bulk_2ds_ref,0.0,0.0,0.0,0.0,0.0,0.0,0.726,0.0,0.063,0.0,0.041,0.165,0.003,0.0,0.0,0.0,0.0,0.0,0.041
TCGA-OR-A5JR-01A,1.214,13.228,15.521,2.35,1.914,137.553,132.688,3.827,1.0,1109.75,18.491,1.421,12.409,529,ACC,simu_bulk_2ds_ref,0.0,0.0,0.0,0.005,0.004,0.0,0.691,0.001,0.074,0.0,0.092,0.127,0.004,0.002,0.0,0.0,0.0,0.009000000000000001,0.092
TCGA-OR-A5L6-01A,4.781,9.158,13.43,1.0,1.0,46.875,58.516,1.234,1.0,627.228,17.387,1.0,33.795,530,ACC,simu_bulk_2ds_ref,0.0,0.0,0.0,0.0,0.0,0.0,0.093,0.0,0.144,0.0,0.384,0.336,0.04,0.002,0.0,0.0,0.0,0.0,0.384
TCGA-OR-A5JI-01A,1.216,18.77,6.373,2.03,1.575,78.298,63.976,1.544,1.0,524.503,7.863,1.0,4.152,531,ACC,simu_bulk_2ds_ref,0.0,0.0,0.0,0.0,0.003,0.0,0.533,0.0,0.112,0.003,0.189,0.158,0.001,0.0,0.0,0.0,0.0,0.003,0.192
TCGA-OR-A5J2-01A,22.353,55.419,6.251,1.57,2.282,156.465,88.137,2.254,1.136,771.826,5.43,1.0,86.643,532,ACC,simu_bulk_2ds_ref,0.03,0.0,0.004,0.0,0.0,0.0,0.719,0.0,0.141,0.002,0.019,0.073,0.012,0.0,0.0,0.0,0.03,0.0,0.020999999999999998
TCGA-OR-A5LL-01A,4.651,13.063,25.465,1.0,1.0,29.524,71.491,1.0,1.0,990.811,8.264,67.974,37.652,533,ACC,simu_bulk_2ds_ref,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.07,0.0,0.037,0.082,0.0,0.0,0.0,0.0,0.0,0.0,0.037
TCGA-OR-A5K1-01A,2.144,13.549,11.846,1.0,1.913,192.582,84.024,2.502,1.492,1065.553,30.163,1.0,119.029,534,ACC,simu_bulk_2ds_ref,0.0,0.0,0.0,0.0,0.0,0.0,0.379,0.0,0.211,0.0,0.27,0.111,0.028,0.001,0.0,0.0,0.0,0.0,0.27
TCGA-PK-A5HA-01A,1.289,20.731,31.019,2.422,5.275,107.823,467.358,3.009,1.137,330.268,15.823,1.503,49.943,535,ACC,simu_bulk_2ds_ref,0.0,0.0,0.0,0.0,0.0,0.0,0.444,0.0,0.07,0.0,0.073,0.409,0.003,0.001,0.0,0.0,0.0,0.0,0.073
TCGA-OR-A5LR-01A,3.029,12.457,102.518,1.008,1.968,73.174,122.291,7.573,1.0,880.406,5.171,1.0,324.368,536,ACC,simu_bulk_2ds_ref,0.0,0.0,0.0,0.0,0.0,0.0,0.554,0.0,0.14,0.0,0.153,0.122,0.029,0.0,0.0,0.0,0.0,0.0,0.153
TCGA-OR-A5JX-01A,5.09,3.707,4.097,1.0,1.0,134.216,74.398,1.0,1.0,603.601,8.019,1.369,5.498,537,ACC,simu_bulk_2ds_ref,0.001,0.0,0.0,0.0,0.0,0.0,0.62,0.009,0.147,0.0,0.17,0.047,0.002,0.0,0.003,0.0,0.001,0.0,0.17
