,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-OR-A5LO-01A,0.004,0.0,0.001,0.0,0.0,0.0,0.853,0.002,0.016,0.011,0.095,0.016,0.001,0.0,0.0,0.0,ACC,0.9889,,1.0,0.95,0.9954,
TCGA-P6-A5OG-01A,0.0,0.0,0.008,0.014,0.01,0.0,0.27,0.0,0.169,0.12,0.231,0.153,0.002,0.0,0.001,0.022,ACC,0.5958,,0.4912,0.9,0.4616,
TCGA-OR-A5J6-01A,0.0,0.0,0.004,0.0,0.0,0.0,0.172,0.0,0.353,0.0,0.087,0.366,0.018,0.0,0.0,0.0,ACC,0.8741,,0.7445,0.88,0.8396,
TCGA-OR-A5LT-01A,0.0,0.0,0.0,0.001,0.0,0.0,0.916,0.0,0.009,0.0,0.047,0.027,0.0,0.0,0.0,0.0,ACC,0.9651,,0.9281,0.95,0.9503,
TCGA-OR-A5JY-01A,0.0,0.0,0.003,0.001,0.0,0.0,0.802,0.0,0.051,0.0,0.061,0.074,0.006,0.0,0.0,0.0,ACC,0.9205,,0.8876,0.9,0.9026,
TCGA-OR-A5JV-01A,0.0,0.0,0.01,0.001,0.003,0.0,0.481,0.0,0.074,0.0,0.069,0.354,0.008,0.0,0.0,0.0,ACC,0.74,,0.5853,0.85,0.6575,
TCGA-OR-A5JT-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.771,0.0,0.072,0.0,0.1,0.056,0.001,0.0,0.0,0.0,ACC,0.9442,,0.9037,0.9,0.9216,
TCGA-OR-A5KX-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.778,0.0,0.088,0.0,0.066,0.062,0.006,0.0,0.0,0.0,ACC,0.9582,,0.9836,0.8,0.97,
TCGA-OR-A5K3-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.846,0.0,0.019,0.0,0.027,0.107,0.0,0.0,0.0,0.0,ACC,0.9145,,0.8728,1.0,0.8944,
TCGA-OR-A5JZ-01A,0.0,0.0,0.003,0.0,0.0,0.0,0.785,0.001,0.078,0.0,0.056,0.061,0.016,0.0,0.0,0.0,ACC,0.9165,,0.9053,1.0,0.9235,
TCGA-OR-A5LC-01A,0.0,0.0,0.001,0.001,0.0,0.0,0.7,0.0,0.053,0.032,0.178,0.034,0.002,0.0,0.0,0.0,ACC,0.9277,,0.9616,0.65,0.9123,
