,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-55-8508-01A,0.121,0.007,0.019,0.001,0.001,0.0,0.61,0.0,0.033,0.106,0.023,0.06,0.0,0.005,0.015,0.0,LUAD,0.7656,,0.5561,0.65,0.6026,
TCGA-67-3771-01A,0.046,0.006,0.013,0.004,0.015,0.0,0.602,0.001,0.032,0.084,0.022,0.169,0.001,0.001,0.0,0.002,LUAD,0.6957,0.46,,0.75,0.5991,
TCGA-55-A4DG-01A,0.055,0.044,0.018,0.003,0.035,0.003,0.633,0.021,0.043,0.055,0.017,0.062,0.002,0.0,0.008,0.0,LUAD,0.7884,,0.6738,0.65,0.7232,
TCGA-91-7771-01A,0.026,0.014,0.029,0.013,0.018,0.003,0.497,0.033,0.084,0.101,0.03,0.144,0.002,0.0,0.005,0.0,LUAD,0.5901,0.59,0.6828,0.61,0.6621,
TCGA-91-6849-01A,0.063,0.008,0.007,0.002,0.012,0.001,0.672,0.019,0.052,0.042,0.017,0.092,0.0,0.0,0.012,0.0,LUAD,0.7161,0.59,0.7258,0.775,0.6688,
TCGA-64-5781-01A,0.04,0.0,0.012,0.034,0.002,0.001,0.675,0.001,0.012,0.151,0.015,0.048,0.001,0.001,0.008,0.0,LUAD,0.6918,0.38,0.5397,0.75,0.5576,
TCGA-44-6146-01B,0.012,0.007,0.008,0.007,0.009,0.011,0.573,0.019,0.203,0.115,0.014,0.002,0.006,0.0,0.014,0.0,LUAD,,,0.7245,0.8,0.711,
TCGA-97-7552-01A,0.04,0.048,0.03,0.031,0.028,0.001,0.443,0.046,0.108,0.081,0.02,0.109,0.007,0.002,0.006,0.0,LUAD,0.5542,0.17,0.4952,0.55,0.4233,
TCGA-80-5608-01A,0.012,0.0,0.009,0.007,0.002,0.0,0.818,0.01,0.033,0.021,0.024,0.046,0.0,0.002,0.013,0.0,LUAD,0.8656,0.49,0.6594,0.9,0.6345,
TCGA-91-6829-01A,0.007,0.004,0.008,0.003,0.009,0.0,0.468,0.0,0.079,0.287,0.028,0.1,0.007,0.0,0.0,0.0,LUAD,0.682,0.49,0.7059,0.75,0.6335,
TCGA-49-AARE-01A,0.017,0.006,0.005,0.006,0.003,0.0,0.763,0.015,0.008,0.09,0.016,0.07,0.0,0.001,0.0,0.0,LUAD,0.8013,,,0.6,0.7406,
TCGA-97-A4M1-01A,0.01,0.001,0.009,0.0,0.014,0.001,0.554,0.069,0.12,0.047,0.033,0.128,0.011,0.003,0.0,0.001,LUAD,0.7218,,0.7556,0.65,0.7475,
TCGA-83-5908-01A,0.0,0.001,0.02,0.092,0.027,0.0,0.563,0.037,0.055,0.092,0.014,0.094,0.003,0.001,0.0,0.0,LUAD,0.6178,0.33,0.5273,0.6,0.4854,
TCGA-97-8179-01A,0.0,0.0,0.005,0.003,0.001,0.0,0.715,0.025,0.068,0.056,0.042,0.082,0.002,0.0,0.0,0.0,LUAD,0.8196,0.65,0.77,0.8,0.765,
TCGA-64-1680-01A,0.015,0.0,0.005,0.001,0.0,0.0,0.845,0.017,0.022,0.031,0.009,0.043,0.006,0.0,0.005,0.0,LUAD,0.8758,0.62,,0.9,0.7508,
TCGA-73-4670-01A,0.016,0.0,0.002,0.002,0.0,0.0,0.786,0.0,0.015,0.097,0.017,0.056,0.0,0.0,0.009,0.0,LUAD,0.8099,0.62,,0.9,0.7508,
TCGA-44-3396-01A,0.046,0.001,0.026,0.004,0.021,0.001,0.453,0.029,0.052,0.178,0.014,0.151,0.003,0.0,0.02,0.001,LUAD,0.4991,0.25,,0.675,0.4,
TCGA-80-5611-01A,0.001,0.0,0.011,0.012,0.004,0.0,0.646,0.003,0.007,0.043,0.005,0.267,0.001,0.0,0.0,0.0,LUAD,0.7087,0.51,0.6308,0.8,0.6307,
TCGA-53-7624-01A,0.009,0.004,0.024,0.004,0.004,0.0,0.786,0.008,0.017,0.042,0.012,0.088,0.001,0.0,0.0,0.0,LUAD,0.8854,0.69,0.8373,0.75,0.8436,
TCGA-91-6835-01A,0.004,0.047,0.035,0.027,0.043,0.001,0.402,0.051,0.086,0.097,0.018,0.172,0.005,0.001,0.011,0.0,LUAD,0.4666,0.21,0.4663,0.7,0.3848,
