,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,Cancer type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE,Unnamed: 7
TCGA-V1-A9OF-01A,0.002,0.0,0.004,0.0,0.001,0.0,0.924,0.007,0.014,0.014,0.016,0.017,0.001,0.0,0.0,0.0,PRAD,0.9682,,,0.8,0.5219,
TCGA-ZG-A8QX-01A,0.007,0.005,0.006,0.0,0.003,0.0,0.842,0.008,0.011,0.017,0.084,0.015,0.001,0.001,0.0,0.0,PRAD,0.9474,,0.8224,0.9,0.826,
TCGA-YL-A8SC-01A,0.0,0.0,0.007,0.005,0.01,0.0,0.824,0.011,0.032,0.043,0.03,0.035,0.002,0.0,0.0,0.0,PRAD,0.8819,,0.8354,0.85,0.8413,
TCGA-HC-7817-01B,0.011,0.0,0.008,0.001,0.002,0.0,0.661,0.024,0.09,0.113,0.049,0.039,0.002,0.001,0.0,0.0,PRAD,0.8211,,0.8469,0.7,0.836,
TCGA-KC-A7F6-01A,0.008,0.0,0.003,0.001,0.003,0.0,0.829,0.007,0.052,0.047,0.039,0.009,0.001,0.0,0.0,0.0,PRAD,0.9453,,0.9881,0.7,0.9362,
TCGA-KK-A7B4-01A,0.009,0.001,0.008,0.002,0.004,0.0,0.837,0.015,0.018,0.064,0.021,0.021,0.001,0.0,0.0,0.0,PRAD,0.9082,,0.8962,0.9,0.8859,
TCGA-G9-6366-01A,0.012,0.0,0.004,0.0,0.005,0.0,0.875,0.004,0.018,0.02,0.055,0.006,0.001,0.0,0.0,0.0,PRAD,0.9646,,0.9297,0.8,0.9522,
TCGA-KK-A59X-01A,0.0,0.0,0.004,0.0,0.0,0.0,0.879,0.008,0.019,0.032,0.031,0.026,0.001,0.0,0.0,0.0,PRAD,0.9239,,0.9765,0.85,0.9072,
TCGA-HC-A6AN-01A,0.002,0.0,0.003,0.0,0.003,0.0,0.871,0.004,0.016,0.037,0.039,0.023,0.0,0.001,0.0,0.0,PRAD,0.9225,,0.963,0.85,0.9053,
TCGA-G9-6498-01A,0.013,0.001,0.016,0.0,0.006,0.0,0.678,0.015,0.061,0.138,0.063,0.008,0.002,0.0,0.0,0.0,PRAD,0.8371,,0.852,0.9,0.8251,
TCGA-J4-AATZ-01A,0.0,0.0,0.004,0.001,0.001,0.0,0.924,0.008,0.02,0.001,0.03,0.009,0.0,0.0,0.0,0.0,PRAD,0.9704,,,0.7,0.5234,
TCGA-EJ-7317-01A,0.005,0.0,0.002,0.0,0.0,0.0,0.879,0.005,0.03,0.03,0.04,0.008,0.0,0.0,0.0,0.0,PRAD,0.9587,,1.0,0.7,0.9545,
TCGA-SU-A7E7-01A,0.007,0.001,0.007,0.0,0.007,0.0,0.788,0.011,0.065,0.056,0.041,0.015,0.002,0.0,0.0,0.0,PRAD,0.9105,,0.931,0.6,0.889,
TCGA-XJ-A83F-01A,0.001,0.0,0.001,0.0,0.0,0.0,0.854,0.002,0.026,0.047,0.058,0.011,0.0,0.0,0.0,0.0,PRAD,0.955,,1.0,0.6,0.9494,
TCGA-2A-AAYO-01A,0.014,0.018,0.019,0.001,0.004,0.0,0.757,0.014,0.033,0.056,0.052,0.027,0.005,0.0,0.0,0.0,PRAD,0.8326,,,0.9,0.4299,
TCGA-EJ-A46B-01A,0.003,0.0,0.004,0.0,0.0,0.0,0.853,0.007,0.032,0.034,0.059,0.007,0.001,0.0,0.0,0.0,PRAD,0.964,,0.9817,1.0,0.9808,
TCGA-QU-A6IN-01A,0.006,0.0,0.002,0.002,0.001,0.0,0.952,0.002,0.007,0.001,0.022,0.003,0.0,0.0,0.0,0.0,PRAD,0.9821,,1.0,0.85,0.9863,
TCGA-KK-A59Z-01A,0.01,0.0,0.004,0.0,0.004,0.0,0.755,0.011,0.056,0.063,0.069,0.025,0.002,0.0,0.0,0.0,PRAD,0.8594,,1.0,0.8,0.8196,
TCGA-XK-AAJT-01A,0.01,0.0,0.004,0.0,0.002,0.0,0.71,0.013,0.069,0.069,0.098,0.022,0.002,0.0,0.0,0.0,PRAD,0.8803,,,0.9,0.8643,
TCGA-EJ-7125-01A,0.007,0.0,0.004,0.0,0.004,0.0,0.81,0.007,0.06,0.042,0.042,0.022,0.002,0.0,0.0,0.0,PRAD,0.9063,,0.9098,0.7,0.8832,
TCGA-J9-A52C-01A,0.002,0.0,0.007,0.0,0.009,0.0,0.595,0.018,0.093,0.137,0.099,0.032,0.006,0.001,0.0,0.0,PRAD,0.7947,,0.9225,0.75,0.8377,
TCGA-YL-A8HL-01A,0.0,0.0,0.003,0.0,0.001,0.0,0.916,0.004,0.03,0.003,0.033,0.009,0.0,0.0,0.0,0.0,PRAD,0.9748,,0.9474,0.8,0.9729,
TCGA-ZG-A9LZ-01A,0.007,0.001,0.005,0.002,0.001,0.0,0.852,0.011,0.025,0.045,0.032,0.018,0.001,0.0,0.0,0.0,PRAD,0.9054,,,0.8,0.8367,
TCGA-J9-A8CP-01A,0.008,0.0,0.004,0.0,0.0,0.0,0.728,0.004,0.09,0.072,0.044,0.002,0.047,0.0,0.0,0.0,PRAD,0.9059,,0.8617,0.7,0.8722,
TCGA-FC-A6HD-01A,0.001,0.0,0.002,0.0,0.001,0.0,0.967,0.004,0.005,0.0,0.016,0.004,0.0,0.0,0.0,0.0,PRAD,0.9814,,1.0,0.85,0.9852,
TCGA-G9-6351-01A,0.008,0.0,0.003,0.0,0.002,0.0,0.853,0.005,0.017,0.064,0.038,0.008,0.001,0.0,0.0,0.0,PRAD,0.9622,,1.0,0.6,0.9796,
TCGA-EJ-5532-01A,0.008,0.0,0.006,0.0,0.001,0.0,0.834,0.006,0.04,0.058,0.037,0.008,0.001,0.0,0.0,0.0,PRAD,0.9322,,0.9414,0.75,0.9185,
TCGA-EJ-5525-01A,0.0,0.002,0.005,0.0,0.0,0.0,0.735,0.006,0.066,0.142,0.026,0.016,0.0,0.0,0.0,0.0,PRAD,0.8714,,0.9546,0.575,0.8358,
TCGA-ZG-A9L9-01A,0.0,0.0,0.01,0.001,0.001,0.0,0.587,0.022,0.041,0.196,0.093,0.047,0.001,0.0,0.0,0.0,PRAD,0.7988,,,0.75,0.6749,
TCGA-EJ-A65F-01A,0.002,0.0,0.003,0.004,0.006,0.0,0.784,0.008,0.076,0.051,0.05,0.012,0.003,0.0,0.0,0.0,PRAD,0.8998,,0.9369,0.6,0.8744,
TCGA-2A-A8VX-01A,0.0,0.0,0.002,0.0,0.0,0.0,0.932,0.003,0.003,0.032,0.026,0.001,0.0,0.0,0.0,0.0,PRAD,0.9823,,1.0,0.92,0.9865,
TCGA-KK-A8I4-01A,0.01,0.004,0.023,0.001,0.012,0.0,0.554,0.026,0.11,0.141,0.079,0.034,0.006,0.001,0.0,0.0,PRAD,0.7496,,0.7611,0.7,0.754,
TCGA-KK-A8IA-01A,0.001,0.0,0.003,0.001,0.0,0.0,0.916,0.005,0.012,0.016,0.034,0.009,0.0,0.0,0.0,0.0,PRAD,0.964,,0.9949,0.7,0.9616,
TCGA-Y6-A9XI-01A,0.0,0.0,0.004,0.0,0.0,0.0,0.891,0.008,0.036,0.019,0.031,0.01,0.0,0.0,0.0,0.0,PRAD,0.9667,,,0.9,0.789,
TCGA-VN-A88I-01A,0.009,0.001,0.014,0.001,0.005,0.0,0.384,0.018,0.104,0.29,0.142,0.016,0.011,0.006,0.0,0.0,PRAD,0.8036,,0.8245,0.7,0.7438,
TCGA-M7-A71Z-01A,0.0,0.0,0.001,0.0,0.0,0.0,0.955,0.002,0.004,0.014,0.022,0.0,0.0,0.0,0.0,0.0,PRAD,0.9912,,1.0,0.8,0.9985,
TCGA-EJ-A46E-01A,0.0,0.001,0.006,0.003,0.002,0.0,0.761,0.015,0.056,0.068,0.078,0.007,0.002,0.0,0.0,0.0,PRAD,0.9331,,0.9374,1.0,0.9404,
TCGA-CH-5788-01A,0.0,0.0,0.002,0.0,0.0,0.0,0.928,0.004,0.01,0.025,0.013,0.017,0.0,0.0,0.0,0.0,PRAD,0.9572,,0.9035,0.775,0.9213,
TCGA-KK-A7AU-01A,0.0,0.0,0.001,0.001,0.003,0.0,0.949,0.004,0.014,0.0,0.022,0.006,0.0,0.0,0.0,0.0,PRAD,0.9949,,1.0,0.8,1.0,
TCGA-EJ-5531-01A,0.015,0.0,0.009,0.001,0.005,0.0,0.775,0.017,0.032,0.058,0.041,0.042,0.003,0.001,0.0,0.0,PRAD,0.8719,,0.8538,0.725,0.863,
TCGA-VN-A88K-01A,0.001,0.0,0.004,0.0,0.0,0.0,0.764,0.001,0.088,0.077,0.053,0.008,0.002,0.0,0.0,0.0,PRAD,0.9154,,0.9322,0.7,0.8956,
TCGA-VN-A88M-01A,0.009,0.0,0.003,0.0,0.001,0.0,0.916,0.004,0.012,0.023,0.029,0.003,0.001,0.0,0.0,0.0,PRAD,0.9754,,0.9884,0.7,0.9771,
TCGA-EJ-5506-01A,0.003,0.0,0.01,0.0,0.004,0.0,0.9,0.007,0.003,0.037,0.024,0.01,0.001,0.0,0.0,0.0,PRAD,0.9529,,0.9633,0.8,0.9465,
TCGA-XK-AAJU-01A,0.004,0.0,0.005,0.002,0.004,0.0,0.799,0.014,0.06,0.043,0.054,0.01,0.003,0.001,0.0,0.0,PRAD,0.9397,,,0.6,0.8153,
